S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
9.7,121,81.1,13,391850,391850,50.2,62.2,1010420,1
13.2,139,79.0,13,63095,63095,23.5,60.8,192865,-1
36.3,141,43.6,13,2970,2970,8.7,28.4,8667,0
13.8,187,75.9,13,11412,11412,26.7,54.9,31567,-1
29.0,189,58.0,13,8156,8156,15.3,49.8,21488,0
41.0,201,46.4,13,2326,2326,11.4,50.4,5884,0
13.6,211,72.3,13,6698,6698,22.1,55.9,18013,-1
24.0,149,61.2,13,4379,4379,10.8,52.1,11607,0
7.2,219,83.9,13,12693,12693,48.2,61.3,35972,1
20.2,95,68.9,13,34842,34842,20.7,48.3,91522,-1
18.1,111,75.4,13,10175,10175,19.0,44.8,24480,-1
6.0,151,87.6,13,72697,72697,28.0,60.1,217506,-1
13.4,153,77.1,13,55200,55200,25.4,57.1,150341,-1
30.7,175,55.4,13,17437,17437,15.4,46.6,47451,0
11.1,183,77.2,13,5399,5399,15.6,45.9,17857,-1
21.9,255,66.0,13,23475,23475,16.2,49.4,64192,-1
19.4,257,68.0,13,9427,9427,19.6,49.2,25625,-1
59.3,271,25.3,13,5167,5167,8.1,35.1,16339,-1
16.1,291,71.3,13,8788,8788,22.0,42.0,22262,-1
24.1,293,63.5,13,10263,10263,12.9,47.2,26241,0
26.5,303,62.4,13,7384,7384,13.1,46.5,20506,0
18.6,225,72.5,13,10113,10113,20.3,51.7,27027,-1
8.0,223,83.2,13,51397,51397,24.4,64.4,152399,-1
20.2,229,61.4,13,6975,6975,12.7,50.8,19141,0
14.1,231,75.7,13,5963,5963,16.5,52.3,17919,-1
18.1,245,69.7,13,72361,72361,21.0,49.5,201568,-1
24.3,251,65.7,13,5268,5268,14.7,49.7,14037,0
18.6,267,65.8,13,8044,8044,12.3,36.8,25402,-1
22.9,19,60.6,13,7240,7240,11.7,47.0,19014,0
18.7,143,69.3,13,11033,11033,14.1,52.3,28722,-1
15.7,157,75.6,13,21785,21785,19.7,56.9,63851,-1
31.5,163,45.4,13,5797,5797,10.6,46.1,15954,0
23.3,311,67.6,13,11250,11250,20.2,50.5,28509,-1
14.5,169,78.3,13,10472,10472,20.7,54.1,28540,-1
32.0,181,53.8,13,3438,3438,12.1,49.7,7768,0
17.0,213,74.5,13,14176,14176,9.6,54.8,39444,-1
15.9,215,72.7,13,73179,73179,26.0,51.1,198647,-1
26.8,235,59.6,13,3893,3893,12.6,37.9,11396,0
24.0,241,69.6,13,6506,6506,25.3,45.0,16354,-1
35.5,259,51.9,13,1780,1780,12.4,26.7,5832,0
22.2,281,70.3,13,4588,4588,25.6,40.0,11173,-1
31.5,283,59.1,13,2633,2633,15.5,49.0,6752,0
25.4,287,67.5,13,3103,3103,13.5,50.7,8036,0
33.6,155,59.4,13,3323,3323,13.1,44.1,9278,0
31.4,3,52.1,13,2835,2835,8.2,53.4,8313,0
25.9,1,51.7,13,6702,6702,11.5,48.3,18471,0
19.3,295,71.5,13,25564,25564,15.5,52.3,68609,-1
5.4,135,86.2,13,283256,283256,35.3,65.3,889954,1
11.9,13,79.6,13,24588,24588,17.3,60.1,75099,-1
23.6,49,64.5,13,3537,3537,8.6,41.5,12963,0
36.0,65,46.2,13,2576,2576,12.3,42.0,6788,0
12.7,15,79.0,13,37120,37120,19.4,58.5,102623,-1
8.1,97,77.9,13,48426,48426,26.7,61.7,140152,-1
21.5,131,68.3,13,9092,9092,13.7,52.9,25048,-1
24.6,161,52.2,13,5210,5210,10.3,48.6,14999,0
22.5,209,69.8,13,3077,3077,15.5,48.5,8962,-1
27.6,221,62.3,13,5642,5642,15.5,54.2,14654,0
29.7,243,63.3,13,2864,2864,12.1,47.1,7206,0
9.2,247,76.8,13,29937,29937,25.8,56.4,88482,-1
19.1,299,65.4,13,13903,13903,13.5,46.8,35688,-1
20.6,305,64.1,13,10362,10362,12.7,44.7,29833,0
66.9,309,27.0,13,1972,1972,8.1,27.3,7952,-1
18.6,313,75.2,13,35384,35384,14.6,58.4,103963,-1
31.8,37,61.0,13,1865,1865,9.4,29.5,6503,0
29.9,193,56.8,13,4618,4618,8.6,39.8,13675,0
18.6,285,69.7,13,24679,24679,18.5,55.0,69433,-1
39.0,315,50.5,13,2676,2676,10.5,32.5,8896,0
21.7,9,68.5,13,16330,16330,19.4,46.8,45527,-1
27.0,11,62.4,13,6489,6489,11.9,53.4,18363,0
12.8,31,69.2,13,26632,26632,27.9,54.0,73742,-1
12.3,59,76.5,13,46291,46291,41.3,55.5,123554,-1
35.4,61,57.5,13,1154,1154,8.9,36.3,3024,0
34.0,101,48.1,13,1502,1502,6.9,55.2,4011,-1
15.2,127,76.1,13,33200,33200,29.0,56.2,83467,-1
8.4,89,81.3,13,273614,273614,42.1,63.0,736066,1
18.8,21,68.2,13,57319,57319,25.4,50.5,153923,-1
12.8,145,78.6,13,12088,12088,27.4,56.5,33198,-1
29.4,197,52.9,13,3263,3263,12.5,49.5,8558,0
19.0,249,70.0,13,1925,1925,13.7,50.2,5168,-1
24.0,321,67.6,13,7899,7899,11.0,49.4,20809,0
26.7,23,64.7,13,4155,4155,17.2,40.6,12779,0
31.5,93,54.8,13,5171,5171,9.9,41.7,14053,0
22.5,109,64.5,13,4023,4023,15.5,52.9,10757,0
24.1,119,60.2,13,8322,8322,12.8,46.3,22328,0
32.5,307,52.7,13,1091,1091,11.3,53.1,2627,0
9.8,103,81.7,13,19584,19584,19.2,62.0,57087,-1
17.8,171,67.7,13,6263,6263,18.4,46.3,18282,-1
25.0,125,64.1,13,1083,1083,9.4,54.2,3027,-1
24.4,107,59.6,13,8387,8387,12.5,47.7,22502,0
37.6,239,47.0,13,978,978,8.3,40.4,2140,0
11.0,51,80.9,13,107427,107427,33.2,57.8,285506,1
20.7,159,63.5,13,5100,5100,10.5,51.2,13732,0
30.2,167,57.5,13,3277,3277,9.6,51.2,9800,0
26.3,173,50.2,13,3744,3744,15.8,44.5,10388,0
8.7,179,80.7,13,23108,23108,19.4,48.8,62120,-1
23.1,195,68.1,13,10571,10571,16.7,53.1,28600,-1
27.3,205,59.2,13,7991,7991,12.3,44.5,22574,0
31.9,253,58.7,13,3353,3353,15.1,41.1,8549,0
27.4,277,63.8,13,14999,14999,16.8,53.9,40531,-1
38.7,289,50.4,13,2943,2943,9.2,37.7,8323,0
16.6,233,69.9,13,14949,14949,12.7,54.8,41444,-1
32.1,263,52.4,13,2801,2801,12.5,47.8,6423,0
30.5,269,55.5,13,3554,3554,11.4,43.9,8267,0
26.3,273,66.4,13,3290,3290,10.8,47.4,8978,0
18.2,275,74.8,13,17254,17254,22.2,53.1,44909,-1
27.7,279,63.5,13,10521,10521,15.9,51.2,27160,0
32.0,319,57.1,13,3288,3288,9.0,44.5,9147,0
29.3,17,59.9,13,6361,6361,10.2,45.8,17272,0
19.1,33,62.9,13,8068,8068,11.7,50.0,22645,-1
13.6,47,78.9,13,24719,24719,20.3,60.2,65870,-1
14.8,53,75.2,13,2505,2505,33.0,25.3,11096,-1
24.0,55,68.3,13,9253,9253,10.1,44.1,24880,0
7.9,73,80.8,13,45823,45823,34.4,56.9,143723,-1
36.4,87,53.2,13,10311,10311,14.9,46.8,27023,0
18.0,115,76.0,13,35506,35506,20.5,54.4,96471,-1
14.9,1,75.6,15,67054,67054,28.6,53.8,196325,-1
10.0,3,84.1,15,311451,311451,34.0,58.4,990060,1
11.4,9,82.0,15,54381,54381,26.3,63.9,164094,1
12.7,7,80.4,15,22563,22563,28.2,62.7,71093,1
26.4,5,60.4,15,53,53,22.8,75.0,86,-1
5.0,65,76.7,16,10633,10633,37.5,59.3,38241,-1
16.6,79,67.7,16,5614,5614,12.4,47.9,12490,-1
21.8,49,66.6,16,6480,6480,19.1,47.0,16275,-1
11.7,81,80.0,16,3764,3764,42.5,69.4,10776,-1
11.4,77,80.1,16,2544,2544,15.8,54.1,7667,-1
20.7,87,67.2,16,3979,3979,16.4,46.5,9996,0
12.0,71,80.0,16,1581,1581,15.1,53.0,4284,-1
11.6,31,79.9,16,7827,7827,18.1,59.6,23472,1
15.0,45,74.4,16,6404,6404,16.9,47.8,16850,-1
21.4,63,65.0,16,1609,1609,9.1,62.5,5296,-1
9.0,85,74.1,16,3532,3532,30.8,50.4,10104,-1
21.0,3,68.1,16,1736,1736,20.3,45.8,3946,-1
11.7,41,81.0,16,4286,4286,20.2,61.7,13120,1
12.8,69,76.8,16,16308,16308,22.7,58.6,40014,-1
17.8,53,69.7,16,7741,7741,13.0,61.7,23039,-1
9.7,55,81.3,16,58873,58873,24.5,57.0,150128,-1
23.7,61,64.1,16,1626,1626,16.3,50.1,3824,0
12.7,67,77.9,16,7357,7357,14.2,60.7,20448,-1
11.7,83,78.8,16,30096,30096,19.1,62.9,82248,-1
24.9,73,63.1,16,4190,4190,9.7,53.8,11384,0
8.3,13,85.8,16,8273,8273,40.4,69.4,21583,1
11.9,15,74.1,16,3004,3004,29.2,46.4,6968,-1
15.4,21,70.1,16,4490,4490,18.2,44.8,11323,-1
15.1,23,75.4,16,1049,1049,15.5,45.6,2613,-1
9.7,29,83.2,16,2533,2533,20.1,58.7,6862,-1
19.1,47,70.6,16,5550,5550,14.7,60.2,15110,-1
8.8,1,79.8,16,164389,164389,37.6,63.2,435117,1
9.1,5,81.1,16,30790,30790,28.1,57.7,84113,-1
15.8,7,77.1,16,2313,2313,20.3,55.8,5942,-1
12.9,11,79.5,16,14903,14903,19.3,59.9,45369,1
9.0,19,83.3,16,38400,38400,29.3,61.3,110404,1
20.5,25,66.8,16,370,370,20.6,57.5,886,-1
11.8,27,75.0,16,69303,69303,18.1,57.8,207027,-1
20.2,35,71.0,16,3706,3706,17.4,38.2,8533,-1
8.0,51,81.1,16,8470,8470,21.2,62.6,27410,-1
6.2,57,83.0,16,15448,15448,46.4,59.1,38697,1
17.2,59,74.5,16,3703,3703,22.3,47.4,7755,-1
14.7,75,73.0,16,8571,8571,14.2,55.9,22839,-1
21.2,9,64.2,16,3508,3508,14.1,47.6,9050,0
14.9,17,73.8,16,17563,17563,22.4,49.9,41855,-1
27.2,33,54.0,16,313,313,17.0,59.4,1055,-1
13.4,37,77.5,16,1850,1850,22.6,47.4,4141,-1
13.1,39,77.6,16,10062,10062,17.6,48.7,26232,-1
14.5,43,77.3,16,4383,4383,21.1,53.0,12889,-1
16.1,137,75.1,17,13894,13894,21.2,55.4,34442,-1
14.0,119,79.7,17,107241,107241,26.2,58.7,266153,-1
10.0,63,82.2,17,19006,19006,22.6,63.3,50333,1
15.3,91,75.1,17,40239,40239,19.8,56.9,110801,-1
15.6,131,76.1,17,6620,6620,18.7,57.4,15794,-1
7.9,43,87.3,17,340669,340669,48.0,65.7,931826,1
12.3,167,79.3,17,83673,83673,34.2,60.3,198134,-1
44.4,3,46.0,17,2432,2432,10.7,41.0,6776,0
17.0,21,73.9,17,13892,13892,16.4,54.7,33562,-1
15.8,99,78.3,17,44448,44448,17.8,56.6,111151,-1
15.5,155,73.2,17,2438,2438,14.9,62.5,5771,1
15.9,39,74.1,17,6704,6704,20.3,62.0,16176,1
28.3,51,64.9,17,7659,7659,11.9,49.1,21980,0
18.0,171,73.7,17,2111,2111,13.9,57.2,5109,-1
13.5,179,79.2,17,54751,54751,26.0,59.7,134695,-1
19.9,17,68.8,17,5160,5160,13.4,60.8,12880,-1
33.1,151,57.8,17,1639,1639,13.1,35.7,4360,0
15.6,161,76.6,17,60064,60064,22.7,58.5,146205,-1
19.6,163,70.6,17,103125,103125,26.6,56.3,264433,-1
15.0,129,78.2,17,5230,5230,24.6,61.1,12416,1
21.3,157,69.7,17,12060,12060,13.1,49.0,32829,-1
8.6,89,85.8,17,175930,175930,32.4,64.9,529402,1
23.6,183,68.8,17,31355,31355,14.6,51.3,79207,-1
15.4,103,76.8,17,13416,13416,17.8,53.8,34670,-1
15.9,107,75.7,17,11011,11011,19.8,51.4,29488,-1
17.2,187,73.6,17,6802,6802,24.3,58.7,17429,-1
18.2,173,69.1,17,9183,9183,16.0,58.2,21906,-1
15.9,117,76.9,17,18663,18663,18.5,56.2,45960,-1
19.9,159,72.5,17,6460,6460,21.5,56.5,15953,-1
17.1,185,73.0,17,4915,4915,18.7,57.1,11568,-1
8.8,19,81.2,17,81418,81418,43.9,59.6,207946,-1
22.0,165,66.5,17,9938,9938,16.4,49.3,24430,0
18.1,1,73.9,17,27461,27461,23.4,60.3,66787,-1
17.5,27,75.3,17,14183,14183,22.1,61.2,37640,-1
4.5,93,92.5,17,39882,39882,34.8,69.9,122933,-1
20.1,101,68.6,17,6271,6271,11.6,46.7,16457,0
22.1,9,70.7,17,2066,2066,13.2,41.1,6791,-1
17.5,121,74.2,17,16001,16001,15.2,55.7,38305,-1
9.0,37,84.5,17,37420,37420,30.6,62.5,104473,1
18.1,47,73.7,17,2810,2810,12.5,59.9,6570,-1
23.8,79,69.5,17,3723,3723,17.4,59.0,9608,-1
15.1,105,76.8,17,14379,14379,15.1,54.1,36812,-1
20.9,139,69.9,17,5856,5856,18.1,61.2,14711,1
23.4,145,69.5,17,8223,8223,12.5,46.1,21467,0
14.6,29,75.8,17,21006,21006,26.0,55.9,52540,-1
16.8,33,73.6,17,7665,7665,16.9,51.1,19214,-1
18.4,83,72.4,17,8831,8831,19.7,57.5,22215,-1
32.6,127,61.9,17,6084,6084,12.1,47.5,14594,0
20.8,189,71.7,17,5897,5897,20.2,62.3,14260,-1
18.7,123,73.4,17,4900,4900,17.4,56.1,11925,-1
19.8,125,71.0,17,6034,6034,15.4,54.4,13904,-1
17.5,75,74.9,17,11845,11845,14.3,57.6,28457,-1
17.3,15,74.6,17,6573,6573,17.4,55.6,14704,-1
7.7,97,87.3,17,244523,244523,44.2,63.3,704476,1
40.2,153,52.6,17,2246,2246,11.2,42.9,5691,0
17.8,169,76.0,17,2856,2856,17.9,48.5,7181,-1
22.1,65,69.4,17,3413,3413,16.9,56.6,8259,-1
19.0,71,70.4,17,3019,3019,14.2,57.4,6927,-1
15.5,109,73.8,17,11481,11481,32.6,51.4,31597,-1
20.9,175,71.2,17,2330,2330,18.8,57.5,5551,-1
20.3,45,71.9,17,7669,7669,17.6,56.1,17603,-1
18.3,5,75.1,17,6132,6132,19.3,52.7,17034,-1
29.0,87,62.1,17,4486,4486,16.2,38.2,12899,0
20.9,95,70.2,17,20981,20981,17.9,50.3,51374,-1
6.9,111,89.5,17,110860,110860,33.2,66.9,308043,-1
8.5,113,81.0,17,66070,66070,44.7,65.4,173231,-1
11.3,7,82.9,17,18709,18709,21.7,60.7,53638,-1
16.8,25,74.3,17,5624,5624,14.9,58.9,13393,1
25.0,59,64.8,17,2272,2272,12.8,50.7,5226,0
14.2,77,72.6,17,23942,23942,36.2,51.7,59115,-1
8.2,197,86.2,17,226668,226668,33.6,64.6,687727,1
16.1,11,75.6,17,13816,13816,18.9,60.0,33619,1
20.5,199,73.0,17,26862,26862,22.5,53.1,67477,-1
12.3,133,80.9,17,13227,13227,30.6,65.4,33739,1
16.0,143,73.8,17,74515,74515,30.2,57.5,186145,-1
16.7,23,68.5,17,6809,6809,17.1,60.4,15924,-1
21.1,41,71.6,17,7580,7580,18.9,59.3,19830,-1
15.9,49,78.0,17,13450,13450,22.6,64.1,34164,1
23.4,149,64.9,17,6629,6629,16.1,54.5,15930,0
26.7,13,63.8,17,1881,1881,13.7,54.0,4897,0
19.9,35,71.2,17,4287,4287,15.0,59.0,10899,-1
17.6,53,75.9,17,5684,5684,19.2,57.4,13470,-1
19.2,135,70.1,17,11234,11234,14.4,44.7,29173,-1
17.3,195,76.3,17,23468,23468,18.1,58.3,56823,-1
14.2,85,75.9,17,9795,9795,23.5,59.6,22046,1
17.5,81,73.6,17,15244,15244,16.1,51.9,38358,-1
17.1,177,75.9,17,19604,19604,18.7,57.4,45839,-1
24.2,191,65.7,17,7117,7117,13.2,55.7,16569,0
27.5,181,63.0,17,6686,6686,22.3,51.9,17267,-1
13.9,201,78.0,17,114491,114491,22.4,58.2,287512,-1
19.3,57,71.6,17,14069,14069,17.7,51.0,35733,-1
23.3,61,68.1,17,5087,5087,12.0,54.1,13311,-1
19.1,193,72.7,17,6144,6144,15.6,52.8,14186,-1
12.9,203,80.2,17,14547,14547,31.1,61.1,38942,1
11.9,147,82.5,17,6676,6676,28.5,65.6,16433,1
14.1,31,77.2,17,1956561,1956561,37.2,60.1,5238541,-1
14.0,141,77.2,17,20830,20830,19.7,60.0,51619,-1
16.9,115,75.1,17,44310,44310,22.7,55.8,107587,-1
22.2,67,68.5,17,7523,7523,19.7,56.0,18264,-1
27.1,69,63.6,17,1452,1452,11.1,36.9,4161,0
17.7,73,73.7,17,19991,19991,22.1,57.5,49649,-1
23.9,55,65.8,17,16346,16346,15.2,48.9,39302,0
19.0,9,66.6,18,5199,5199,11.1,53.0,12214,-1
16.4,15,72.2,18,7819,7819,16.2,59.3,19994,1
18.7,143,68.0,18,8892,8892,12.9,54.4,23722,-1
15.1,61,71.1,18,14693,14693,16.6,56.3,39450,-1
18.6,177,66.3,18,26397,26397,18.2,54.0,66972,-1
6.9,63,86.3,18,57153,57153,35.3,66.6,158170,1
14.6,69,73.7,18,14616,14616,18.1,62.0,36520,1
14.3,91,75.0,18,42975,42975,17.8,52.8,110839,-1
15.6,37,77.8,18,16524,16524,21.4,66.1,42379,1
19.7,47,66.8,18,8843,8843,19.7,61.2,22835,-1
18.2,53,66.4,18,26122,26122,17.1,53.4,67615,-1
14.6,169,70.9,18,12920,12920,18.7,58.0,31848,-1
15.0,181,75.2,18,9723,9723,16.6,59.3,24279,1
13.8,73,78.1,18,12220,12220,14.9,58.0,33448,-1
23.3,75,63.1,18,8195,8195,10.5,57.1,21107,-1
8.8,59,83.5,18,27576,27576,30.1,65.0,72776,1
19.2,71,72.6,18,16549,16549,15.9,58.8,43779,-1
15.8,67,75.1,18,34538,34538,20.4,55.7,82457,-1
22.3,115,72.9,18,2479,2479,14.2,62.4,5911,-1
4.0,57,92.5,18,114282,114282,57.5,70.8,309687,-1
13.6,33,76.1,18,16317,16317,17.8,63.3,42524,1
36.1,87,54.8,18,12064,12064,9.9,60.6,38720,-1
14.9,5,76.3,18,31472,31472,31.2,62.4,81024,-1
20.6,139,59.5,18,6672,6672,14.8,55.4,16765,-1
8.6,11,84.0,18,24228,24228,47.2,68.2,63013,1
19.3,49,67.1,18,7934,7934,12.8,59.8,20296,-1
15.6,89,75.3,18,185524,185524,21.4,56.2,488694,-1
13.4,107,77.0,18,14993,14993,18.1,61.8,38288,1
14.5,113,76.1,18,18205,18205,14.0,61.4,47421,-1
25.1,1,66.3,18,12453,12453,14.9,59.5,35018,-1
24.1,153,63.9,18,7601,7601,12.5,47.1,20900,0
14.9,159,75.3,18,6365,6365,21.3,59.2,15290,-1
12.0,183,76.0,18,13469,13469,19.5,62.1,33481,1
14.0,7,71.6,18,3397,3397,16.8,61.0,8685,-1
13.1,13,67.4,18,6011,6011,25.5,53.4,15007,-1
14.5,19,74.3,18,43657,43657,20.0,61.2,114893,-1
14.6,23,73.1,18,11961,11961,15.7,61.2,32455,1
7.7,157,80.4,18,68771,68771,36.9,60.6,186081,-1
16.1,167,73.6,18,41164,41164,23.5,54.0,107723,-1
10.2,173,82.2,18,23742,23742,29.2,64.2,61581,1
11.3,133,77.2,18,13162,13162,15.4,52.4,37543,-1
18.8,161,65.8,18,2860,2860,17.6,58.6,7225,-1
23.6,175,64.5,18,10570,10570,12.1,54.4,27807,0
27.8,27,61.7,18,11482,11482,14.2,58.6,32777,-1
12.3,29,79.3,18,18667,18667,21.7,62.3,49564,1
19.0,65,69.1,18,18096,18096,16.5,50.2,48649,-1
22.6,125,65.9,18,5096,5096,13.1,59.2,12471,0
18.2,131,71.3,18,5296,5296,11.8,55.2,12761,-1
12.8,129,75.2,18,10140,10140,20.7,60.4,25599,-1
12.5,151,78.1,18,13810,13810,20.3,60.9,34459,1
22.1,101,69.3,18,4251,4251,11.0,58.8,10219,-1
10.0,127,82.1,18,63251,63251,27.5,59.2,167391,1
16.3,145,71.8,18,17603,17603,18.0,62.6,44339,-1
13.4,83,74.6,18,14986,14986,16.1,59.5,37763,-1
18.9,93,71.0,18,18432,18432,16.1,56.0,45669,-1
17.1,95,74.5,18,51647,51647,17.5,53.4,129641,-1
23.7,123,67.9,18,7460,7460,14.3,52.7,19229,0
14.6,111,75.3,18,5530,5530,11.0,55.3,14056,-1
24.2,117,63.4,18,7830,7830,11.8,54.2,19623,0
16.6,141,74.6,18,100694,100694,28.4,59.4,268613,-1
17.2,39,75.3,18,71733,71733,18.7,62.0,202924,-1
19.3,149,68.2,18,8792,8792,11.4,53.2,22966,-1
24.6,25,58.2,18,4007,4007,10.4,49.6,10598,0
14.5,85,75.3,18,30265,30265,22.3,62.1,78720,-1
18.6,99,68.5,18,17249,17249,19.8,59.0,46752,-1
22.8,155,65.7,18,4259,4259,8.7,53.1,10617,-1
15.2,163,75.6,18,74923,74923,26.2,59.3,181831,-1
17.3,17,70.7,18,14840,14840,13.4,56.2,38248,-1
23.0,55,67.7,18,12653,12653,14.5,54.6,32431,-1
16.0,97,74.7,18,367215,367215,29.7,61.7,939964,-1
20.7,41,62.8,18,9410,9410,11.1,51.4,23426,0
17.2,21,73.1,18,10680,10680,16.6,58.6,26375,1
15.0,171,73.5,18,3395,3395,19.4,60.3,8269,1
17.7,165,73.3,18,6533,6533,13.0,50.9,15644,-1
14.5,179,74.8,18,10944,10944,18.6,63.1,27832,1
22.2,119,65.0,18,8551,8551,12.7,55.7,20957,-1
25.9,121,64.6,18,6112,6112,12.6,48.8,17062,0
17.6,135,70.9,18,10495,10495,13.7,57.0,25203,-1
15.8,137,74.0,18,11150,11150,18.2,60.7,28372,1
21.7,147,69.1,18,8101,8101,15.9,59.6,20610,-1
11.9,3,78.9,18,142696,142696,27.5,62.5,367747,-1
17.8,31,67.3,18,10354,10354,19.7,62.6,26480,-1
14.2,35,74.3,18,46304,46304,23.9,55.0,115938,-1
15.0,43,75.1,18,29046,29046,28.4,62.7,76481,-1
16.6,77,73.4,18,12677,12677,17.4,54.4,32293,-1
19.5,79,68.1,18,10753,10753,10.7,58.8,27840,-1
9.4,81,82.3,18,54867,54867,30.9,64.1,149359,1
15.5,103,71.5,18,13465,13465,12.6,52.5,36035,-1
12.2,109,76.4,18,25805,25805,16.1,60.2,69533,-1
15.0,51,75.8,18,13336,13336,16.8,60.8,33596,1
8.4,105,80.6,18,55014,55014,45.8,57.9,144436,-1
17.9,45,71.6,18,6987,6987,14.4,55.2,16620,-1
16.4,127,71.6,19,15541,15541,19.6,61.1,40476,-1
22.6,43,69.3,19,7625,7625,15.7,63.4,17711,-1
19.7,131,72.0,19,4302,4302,17.1,61.7,10663,1
16.6,137,72.8,19,4614,4614,16.1,58.7,10239,1
10.2,181,82.1,19,18621,18621,30.4,67.8,48630,1
11.5,15,76.5,19,10998,10998,24.2,64.8,26381,1
16.8,71,75.4,19,2997,2997,20.8,59.8,6985,1
16.8,79,72.0,19,6367,6367,23.5,63.9,15201,-1
16.9,151,75.1,19,3191,3191,15.7,59.8,6972,1
18.9,173,70.7,19,2694,2694,14.3,61.0,6214,1
18.2,175,72.3,19,5309,5309,16.1,62.1,12497,1
23.8,177,64.1,19,2877,2877,13.8,56.4,7308,0
21.3,195,69.5,19,3179,3179,15.2,62.0,7502,-1
22.1,159,68.7,19,2063,2063,20.1,54.5,4986,-1
17.1,33,73.6,19,19201,19201,22.2,62.3,43134,-1
19.6,67,72.9,19,6924,6924,20.9,64.7,15904,-1
18.6,65,73.1,19,8315,8315,19.8,61.3,20139,-1
17.1,85,71.8,19,6068,6068,17.8,64.3,14196,1
15.0,73,72.9,19,3912,3912,20.6,61.7,9046,1
19.8,89,71.3,19,3883,3883,14.6,65.0,9321,-1
14.3,149,79.0,19,10083,10083,20.7,67.0,25027,1
17.6,19,75.3,19,8212,8212,19.0,65.0,21101,1
19.8,83,71.1,19,7183,7183,20.7,61.0,17239,-1
15.6,109,74.8,19,6674,6674,19.7,62.7,15166,1
17.7,115,76.1,19,4364,4364,14.9,62.2,11238,1
16.7,117,72.1,19,3703,3703,16.9,58.9,8600,1
11.7,119,80.0,19,4489,4489,21.7,68.5,11745,1
14.1,129,78.7,19,5601,5601,22.8,62.7,14933,1
19.0,133,71.9,19,4047,4047,16.2,59.1,8865,-1
15.1,139,75.9,19,16414,16414,21.1,65.0,42923,1
16.4,189,72.7,19,4590,4590,20.8,59.9,10545,-1
14.8,147,74.6,19,3823,3823,25.6,66.0,9110,1
14.1,39,74.5,19,3870,3870,17.2,63.4,9267,1
28.2,51,62.6,19,3255,3255,17.8,60.6,8834,-1
11.3,59,79.0,19,8039,8039,29.5,64.7,17000,1
19.5,93,74.2,19,3043,3043,19.7,63.8,6965,1
6.3,103,86.9,19,57423,57423,52.7,69.2,144425,1
17.8,179,71.9,19,14531,14531,18.4,57.8,35321,-1
16.4,143,77.3,19,2617,2617,17.7,65.9,6149,1
9.1,153,82.2,19,181316,181316,35.3,69.1,467235,1
18.3,165,75.4,19,5055,5055,21.2,63.7,11772,1
21.2,7,67.0,19,5407,5407,18.2,54.7,12547,-1
16.3,87,74.2,19,7772,7772,19.9,58.4,19865,-1
18.7,187,73.1,19,15067,15067,20.4,55.5,36945,-1
5.7,169,82.4,19,37106,37106,50.6,63.0,95888,-1
20.7,3,69.9,19,1654,1654,17.3,58.2,3785,-1
16.2,1,72.1,19,3210,3210,15.7,63.3,7192,1
19.2,9,69.3,19,2679,2679,13.7,61.2,5711,-1
18.3,37,74.2,19,5298,5298,15.5,65.2,12140,1
17.6,63,72.1,19,4133,4133,20.6,62.3,9661,1
16.8,77,74.9,19,4393,4393,21.1,62.7,10664,1
17.9,81,69.9,19,4809,4809,20.7,64.0,10971,-1
13.4,41,76.8,19,7264,7264,21.7,63.2,16387,1
18.5,45,73.9,19,19877,19877,19.2,60.1,47587,-1
18.7,91,73.9,19,4221,4221,20.2,62.0,9586,1
15.2,121,76.2,19,6357,6357,23.5,65.8,15720,1
23.7,53,64.8,19,3172,3172,21.5,57.4,8105,-1
15.2,125,76.1,19,13098,13098,26.1,65.4,33127,1
15.5,183,74.4,19,8669,8669,21.1,65.2,22095,1
20.4,197,71.3,19,5579,5579,17.5,57.7,12864,-1
12.1,167,82.9,19,12113,12113,27.5,71.4,34692,-1
23.2,69,69.0,19,4232,4232,16.1,58.6,10326,-1
18.2,29,70.6,19,6053,6053,19.6,61.3,13327,-1
16.6,35,78.6,19,5227,5227,19.5,64.0,11577,1
19.0,25,71.5,19,4229,4229,19.0,55.1,9814,-1
19.3,27,74.0,19,8675,8675,22.5,66.7,20428,-1
20.9,47,67.4,19,6389,6389,13.0,61.2,17131,-1
21.6,107,69.9,19,4471,4471,18.1,60.3,10223,1
16.2,57,74.7,19,16772,16772,19.8,60.8,39876,-1
14.5,31,79.0,19,7546,7546,22.4,67.4,18368,1
15.9,135,70.7,19,3347,3347,15.8,61.1,7912,1
14.7,171,72.9,19,6675,6675,16.5,62.3,17236,1
16.5,55,75.3,19,6926,6926,16.9,68.3,17326,1
13.2,101,80.1,19,6872,6872,33.4,55.9,17945,-1
27.4,185,66.5,19,2631,2631,13.8,55.9,6405,-1
23.4,5,67.8,19,6037,6037,17.5,62.0,13940,-1
10.9,113,81.6,19,89061,89061,32.3,67.6,220008,1
15.7,163,77.2,19,67100,67100,31.9,62.1,171493,-1
6.1,49,87.5,19,31363,31363,49.1,73.4,80864,1
14.5,17,78.0,19,9445,9445,29.0,64.7,24741,1
16.4,161,73.9,19,4372,4372,19.8,62.8,9936,1
15.5,123,76.8,19,8955,8955,23.8,62.2,22301,1
