S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
16.1,9,70.1,4,10976,10976,14.1,43.5,37700,-1
20.2,23,69.0,4,15568,15568,22.1,49.6,46358,-1
14.6,3,76.8,4,49160,49160,23.6,42.8,126516,-1
26.3,12,58.7,4,8798,8798,11.2,37.0,20477,0
15.2,15,76.8,4,83902,83902,12.3,40.5,204691,-1
45.2,1,39.6,4,19530,19530,11.5,33.9,71602,0
12.5,5,75.9,4,47588,47588,35.4,58.1,138639,-1
11.6,25,79.0,4,94343,94343,25.0,44.5,220972,-1
19.0,27,73.9,4,71670,71670,14.3,47.7,204281,-1
11.8,11,75.7,4,3364,3364,12.1,52.4,9368,-1
26.6,17,60.4,4,34251,34251,15.5,40.8,107902,-1
13.6,21,77.8,4,133513,133513,18.6,45.4,405537,-1
22.0,35,67.3,5,18659,18659,16.9,54.7,49278,-1
28.0,47,54.8,5,6862,6862,11.3,46.6,17803,0
10.2,143,75.8,5,84460,84460,31.9,61.6,223683,-1
23.3,141,59.7,5,6867,6867,12.9,41.0,16751,0
28.6,139,60.4,5,16189,16189,20.1,49.6,40022,-1
38.9,147,51.3,5,2874,2874,11.4,47.7,6763,0
17.8,9,75.0,5,14887,14887,16.2,53.1,37212,-1
18.2,65,59.0,5,5189,5189,12.9,40.7,13521,-1
20.7,23,68.5,5,10646,10646,15.9,48.1,25361,0
21.4,25,54.7,5,3292,3292,17.0,50.0,8332,-1
19.6,63,64.7,5,14288,14288,18.0,52.2,37097,-1
29.4,67,57.9,5,6179,6179,9.2,39.9,17429,0
26.7,57,61.9,5,7930,7930,13.1,51.9,22154,0
23.7,135,58.9,5,7296,7296,10.5,42.5,17041,0
27.2,79,57.2,5,3928,3928,7.9,28.7,13885,-1
20.7,83,67.1,5,8269,8269,12.0,47.6,21802,0
24.9,137,52.0,5,4910,4910,13.4,42.3,12443,0
13.0,53,69.5,5,6851,6851,19.0,52.3,18076,-1
20.8,1,60.7,5,7692,7692,14.1,53.7,18352,-1
21.7,81,63.6,5,5300,5300,10.3,46.1,12494,0
26.8,37,62.7,5,6726,6726,13.8,53.3,17164,0
27.6,39,53.7,5,3144,3144,14.1,47.9,7585,0
12.3,125,77.9,5,43314,43314,25.5,60.6,116252,-1
11.9,45,75.2,5,43835,43835,29.7,59.8,121282,-1
18.7,5,70.3,5,18398,18398,18.4,45.9,41093,-1
24.5,3,60.0,5,8182,8182,13.4,48.1,20771,0
25.3,109,58.8,5,4313,4313,14.9,51.1,10893,0
21.0,69,54.5,5,27377,27377,16.8,47.3,71373,-1
12.4,31,77.9,5,39838,39838,26.5,59.3,104246,-1
9.7,7,60.0,5,90906,90906,31.7,62.6,251823,-1
25.4,75,60.4,5,6584,6584,15.5,47.9,16777,0
15.5,55,72.4,5,16821,16821,16.1,55.0,44197,-1
19.4,89,70.8,5,6663,6663,16.0,38.9,16374,-1
28.3,97,57.4,5,3855,3855,12.3,43.3,9059,0
35.9,73,52.2,5,2860,2860,15.0,44.3,7051,0
20.7,105,63.0,5,3692,3692,12.9,47.8,10320,0
31.3,107,56.2,5,7823,7823,11.3,44.9,19518,0
27.1,127,54.0,5,3972,3972,10.2,48.9,10584,0
27.2,129,55.9,5,3336,3336,13.1,47.4,7925,0
23.3,111,65.2,5,9483,9483,9.8,50.0,24098,0
22.7,133,66.6,5,5984,5984,10.6,56.5,17206,-1
33.1,95,48.0,5,3328,3328,9.3,48.6,7420,0
31.8,123,48.9,5,9325,9325,9.5,40.5,26688,0
29.0,17,57.2,5,4323,4323,13.2,41.3,11008,0
19.1,59,64.0,5,12291,12291,13.8,49.2,33480,-1
22.7,113,61.3,5,8058,8058,12.5,44.9,20212,0
25.8,29,55.2,5,8185,8185,15.8,50.7,20954,0
15.8,119,73.6,5,155435,155435,33.7,58.8,392848,-1
17.1,145,69.9,5,29217,29217,20.8,52.0,78706,-1
23.0,61,61.4,5,5042,5042,15.3,54.0,13472,0
15.7,51,73.5,5,40062,40062,20.1,49.6,97994,-1
22.1,93,61.2,5,17238,17238,12.2,51.6,43534,-1
14.2,85,75.1,5,26281,26281,20.1,59.5,71568,-1
27.1,149,61.8,5,7555,7555,13.7,52.4,21601,0
19.5,131,69.1,5,50301,50301,19.0,55.5,127362,-1
18.2,33,69.2,5,23870,23870,14.5,53.2,62119,-1
24.6,71,60.4,5,9900,9900,15.7,51.3,26155,0
33.1,77,46.5,5,3541,3541,8.4,35.3,9614,0
25.4,87,61.1,5,6190,6190,11.6,51.6,15907,0
33.7,103,54.6,5,10016,10016,15.3,47.9,24378,0
28.2,101,57.4,5,3152,3152,15.7,47.9,7898,0
36.3,99,49.7,5,3452,3452,17.0,48.7,8528,0
26.7,21,60.0,5,6428,6428,10.7,51.0,15190,0
26.9,41,47.2,5,5230,5230,12.6,47.1,12094,0
19.6,15,64.5,5,10832,10832,19.3,51.3,27782,-1
21.7,43,64.6,5,7038,7038,18.5,50.6,18620,-1
27.2,27,59.2,5,9337,9337,21.5,50.2,23992,-1
25.6,121,63.5,5,7339,7339,14.5,47.3,17514,0
16.8,115,68.7,5,23147,23147,22.2,53.5,63372,-1
27.5,117,49.4,5,3920,3920,13.8,50.6,8309,0
17.2,91,71.6,5,17020,17020,15.8,53.3,43760,-1
26.7,13,55.7,5,2061,2061,12.3,51.5,5194,0
23.4,19,61.8,5,8820,8820,26.4,54.9,22495,-1
27.6,11,56.2,5,4566,4566,14.4,47.7,10994,0
18.3,49,60.5,5,5117,5117,12.1,41.6,12092,-1
13.6,77,78.3,6,223808,223808,18.1,54.2,724153,-1
13.2,5,80.1,6,14185,14185,22.1,41.6,37306,-1
13.2,47,76.1,6,79261,79261,13.8,50.4,267390,-1
18.7,33,71.6,6,26327,26327,15.3,43.2,64095,-1
17.1,43,73.3,6,7434,7434,24.4,46.4,17658,-1
24.6,49,68.9,6,3638,3638,16.6,43.0,9017,-1
10.5,115,80.6,6,25880,25880,16.4,49.8,74644,-1
6.6,13,88.6,6,389597,389597,40.7,60.0,1123678,1
12.6,27,76.1,6,8026,8026,25.3,55.5,18195,-1
17.6,35,74.5,6,9441,9441,12.4,33.6,31470,-1
12.5,99,79.8,6,171324,171324,16.7,54.2,535684,-1
10.6,83,83.1,6,144015,144015,33.3,59.7,442996,1
14.4,89,76.2,6,70486,70486,21.4,49.9,178919,-1
8.4,95,86.6,6,147352,147352,25.6,56.5,434981,-1
15.0,15,73.6,6,9683,9683,14.4,39.4,27442,-1
17.7,11,75.4,6,7047,7047,15.7,58.6,21479,-1
19.4,21,64.8,6,9936,9936,13.0,50.4,27935,-1
10.8,7,81.8,6,86167,86167,26.6,50.5,225207,-1
14.5,31,74.4,6,42349,42349,13.0,46.9,150183,-1
17.4,63,72.2,6,8287,8287,22.6,45.3,18724,-1
8.2,79,85.8,6,105044,105044,34.0,55.0,280119,-1
14.7,19,75.6,6,301824,301824,20.1,54.3,971616,-1
17.0,29,74.6,6,264993,264993,15.8,51.7,878744,-1
6.6,59,88.3,6,1024976,1024976,39.1,61.8,3155816,-1
9.1,111,85.4,6,270046,270046,32.6,61.3,847834,1
15.7,9,77.6,6,17812,17812,19.3,43.7,45057,-1
12.8,101,79.4,6,32188,32188,17.5,52.2,95583,-1
6.3,81,88.7,6,261796,261796,48.5,65.5,763450,1
13.6,109,77.1,6,22267,22267,20.6,44.3,53899,-1
8.2,97,85.8,6,190058,190058,33.8,60.7,500943,1
17.8,103,71.3,6,23712,23712,14.4,47.9,63247,-1
17.5,25,70.4,6,45198,45198,14.3,44.7,179957,-1
11.5,51,75.0,6,4899,4899,31.5,67.9,14058,-1
6.9,69,87.6,6,17440,17440,19.2,61.6,58671,-1
7.5,1,86.1,6,569070,569070,44.7,62.5,1629615,-1
8.3,67,83.3,6,532050,532050,29.9,56.8,1495400,-1
8.0,17,84.5,6,68084,68084,33.3,52.9,185015,-1
8.0,55,86.5,6,49044,49044,34.6,62.1,141005,1
14.5,53,78.9,6,125939,125939,23.9,55.1,433168,-1
9.2,75,84.9,6,358772,358772,55.8,66.5,864263,1
24.2,91,69.3,6,1208,1208,21.4,46.1,2885,-1
7.3,73,87.3,6,1111739,1111739,37.4,58.3,3283665,-1
19.1,107,70.4,6,135144,135144,13.8,52.6,458809,-1
8.5,113,84.1,6,72845,72845,40.6,55.7,212605,-1
11.5,23,80.0,6,53966,53966,29.4,53.2,135490,-1
10.1,57,83.7,6,40386,40386,35.8,50.4,98838,-1
8.6,3,87.5,6,304,304,25.6,37.6,1203,-1
15.8,39,72.9,6,44458,44458,13.8,48.0,154440,-1
15.7,45,75.8,6,34182,34182,24.8,52.3,87497,-1
9.1,87,85.5,6,95536,95536,39.8,59.4,273263,1
18.5,105,65.7,6,5462,5462,19.5,42.8,13037,-1
11.3,37,80.4,6,3295198,3295198,31.2,59.3,10105722,-1
9.8,65,83.2,6,711724,711724,21.5,54.0,2355002,-1
10.7,71,79.8,6,623642,623642,19.8,53.9,2121220,-1
5.6,85,89.8,6,630451,630451,50.0,63.5,1911226,-1
6.9,41,89.3,6,104846,104846,57.5,61.3,260814,-1
6.8,61,87.6,6,138564,138564,37.5,57.0,374985,-1
16.8,93,76.0,6,19018,19018,22.7,46.2,43530,-1
23.5,71,67.0,8,6327,6327,20.2,51.0,14151,-1
21.1,125,69.0,8,4053,4053,21.0,64.5,10109,-1
15.4,73,77.0,8,1477,1477,13.2,31.8,5520,-1
6.8,107,88.8,8,9478,9478,51.6,71.2,24359,1
3.4,117,82.5,8,9455,9455,47.8,75.9,29722,-1
18.5,3,68.6,8,6049,6049,26.2,51.7,16345,-1
6.8,19,82.5,8,4374,4374,46.4,66.0,9257,1
17.8,29,71.5,8,12119,12119,19.4,45.2,30217,-1
14.4,43,77.9,8,16762,16762,17.1,36.1,46601,-1
16.0,101,71.4,8,63489,63489,21.7,50.9,163368,-1
17.2,85,73.2,8,16951,16951,23.4,52.1,40908,-1
16.9,87,75.3,8,10599,10599,17.2,61.7,28123,1
8.8,93,82.6,8,7389,7389,28.5,62.6,16900,1
17.0,109,68.2,8,2626,2626,26.0,48.6,6338,-1
10.7,77,83.5,8,60562,60562,27.2,57.7,148798,-1
18.4,99,75.6,8,4913,4913,16.0,57.4,12084,-1
10.3,53,68.8,8,368,368,40.8,56.7,820,-1
6.8,41,88.4,8,249745,249745,37.3,57.9,674826,1
15.4,121,74.5,8,2012,2012,16.6,57.3,4809,-1
10.0,49,86.2,8,5724,5724,38.4,70.5,14793,1
6.0,5,87.1,8,235263,235263,41.6,67.3,626612,1
17.1,89,72.4,8,7490,7490,17.7,49.3,18325,-1
3.9,14,91.5,8,25938,25938,53.4,69.2,64283,-1
7.7,91,83.0,8,2204,2204,49.4,57.1,4653,-1
15.5,103,73.1,8,2417,2417,20.9,59.6,6557,-1
20.2,115,66.9,8,998,998,20.8,52.3,2357,-1
9.3,123,81.7,8,99817,99817,27.0,64.3,285729,-1
30.9,21,62.9,8,2992,2992,19.2,47.0,8147,-1
10.9,27,76.7,8,2093,2093,33.3,35.9,4505,-1
38.1,23,53.4,8,1568,1568,20.9,40.9,3628,0
8.8,1,80.4,8,162508,162508,23.1,67.2,487850,-1
2.2,35,95.0,8,113799,113799,58.0,70.2,320940,-1
4.6,37,87.7,8,17765,17765,45.1,78.0,53726,-1
13.0,65,77.4,8,3324,3324,31.2,65.5,7481,1
10.2,67,78.3,8,21818,21818,43.1,64.5,54469,-1
14.0,81,76.6,8,5103,5103,17.2,63.1,13056,1
5.3,97,89.7,8,7340,7340,61.2,74.8,17747,-1
25.4,105,64.2,8,4750,4750,23.7,51.5,11430,-1
16.8,17,76.8,8,776,776,21.9,61.3,2127,1
20.1,11,72.0,8,1760,1760,10.3,27.4,5806,-1
15.3,25,77.5,8,1215,1215,8.1,35.8,5514,-1
