0,1,S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
-7.5881076,-4.893851,5.4,20,87.8,2,106012,106012,34.6,65.9,298225,1
3.88487,-8.157084,14.7,13,68.2,2,812,812,11.5,81.6,3338,-1
-0.45676687,-8.688901,9.9,195,76.3,2,1255,1255,26.5,63.0,3275,1
2.319286,6.8490033,23.5,158,58.4,2,1752,1752,4.9,40.6,8129,-1
2.9313827,-4.599917,16.5,105,72.3,2,802,802,21.9,56.7,2146,-1
-4.071675,-10.028309,3.8,230,84.4,2,423,423,32.2,75.9,1038,-1
3.288895,-1.6366688,13.9,198,68.2,2,2315,2315,16.8,54.5,6473,-1
0.54163074,-2.7341745,15.5,275,75.4,2,1084,1084,19.4,53.2,2475,-1
2.6939633,-9.166961,8.2,16,74.4,2,1218,1218,16.2,81.0,5784,-1
-0.33471817,-9.840356,8.7,60,83.2,2,358,358,20.3,68.6,917,-1
-0.78672117,-9.72945,10.0,150,82.5,2,4538,4538,24.1,66.9,13773,1
3.6696496,1.789218,20.1,188,66.8,2,1849,1849,10.8,50.1,7715,0
1.7706431,0.56365216,18.0,50,70.6,2,4524,4524,12.6,49.8,17957,-1
4.842859,-7.7176943,15.6,185,68.3,2,2041,2041,15.3,71.7,9757,-1
-3.303251,-9.682084,7.9,220,80.9,2,3545,3545,32.9,66.2,8810,1
-4.5588264,-7.004921,6.2,90,82.7,2,36396,36396,33.1,59.8,100031,-1
-0.93334615,-8.876155,8.8,130,82.3,2,5270,5270,24.1,62.9,13745,1
-2.0159984,-7.166309,6.6,170,85.8,2,30613,30613,20.6,55.7,101135,-1
3.5235102,-1.0647575,14.5,180,67.7,2,2897,2897,14.0,53.1,9869,-1
3.8030925,-2.6449242,18.4,70,72.3,2,1405,1405,17.4,55.2,4974,-1
-3.8930452,-9.993996,6.5,100,78.9,2,1087,1087,34.7,69.2,2537,-1
3.0362458,-9.107616,11.0,282,71.0,2,255,255,19.6,68.8,682,-1
-5.5473313,-9.421895,5.5,110,88.4,2,12273,12273,40.3,68.7,32434,1
6.9680405,-0.8844961,17.2,164,60.5,2,408,408,16.0,58.9,1301,-1
-10.075637,1.2398345,10.5,19,81.2,4,398530,398530,31.6,53.2,1007257,-1
-13.53236,3.1667504,10.2,13,82.1,4,1489533,1489533,31.4,59.5,4155501,-1
1.3286062,5.0934577,20.9,7,62.3,4,21585,21585,19.0,42.0,53145,-1
-0.5700665,2.0824497,16.1,9,70.1,4,10976,10976,14.1,43.5,37700,-1
1.0608399,0.74701875,20.2,23,69.0,4,15568,15568,22.1,49.6,46358,-1
-2.91846,-1.3873259,14.6,3,76.8,4,49160,49160,23.6,42.8,126516,-1
0.66650313,7.6465516,26.3,12,58.7,4,8798,8798,11.2,37.0,20477,0
-3.2306886,-0.25738716,15.2,15,76.8,4,83902,83902,12.3,40.5,204691,-1
2.448625,13.183559,45.2,1,39.6,4,19530,19530,11.5,33.9,71602,0
-4.208717,-6.1895404,12.5,5,75.9,4,47588,47588,35.4,58.1,138639,-1
-4.327094,-1.5619721,11.6,25,79.0,4,94343,94343,25.0,44.5,220972,-1
-1.9556221,-0.46617126,19.0,27,73.9,4,71670,71670,14.3,47.7,204281,-1
1.127045,-3.5801299,11.8,11,75.7,4,3364,3364,12.1,52.4,9368,-1
1.8431185,6.7267756,26.6,17,60.4,4,34251,34251,15.5,40.8,107902,-1
-5.6001863,-0.7593962,13.6,21,77.8,4,133513,133513,18.6,45.4,405537,-1
4.752687,0.6648068,22.0,35,67.3,5,18659,18659,16.9,54.7,49278,-1
5.272961,7.867746,28.0,47,54.8,5,6862,6862,11.3,46.6,17803,0
-5.728486,-3.9085903,10.2,143,75.8,5,84460,84460,31.9,61.6,223683,-1
1.7686625,6.2777762,23.3,141,59.7,5,6867,6867,12.9,41.0,16751,0
5.9548264,4.700414,28.6,139,60.4,5,16189,16189,20.1,49.6,40022,-1
4.6211777,11.206846,38.9,147,51.3,5,2874,2874,11.4,47.7,6763,0
2.0270967,-1.7261058,17.8,9,75.0,5,14887,14887,16.2,53.1,37212,-1
1.3455095,6.1874843,18.2,65,59.0,5,5189,5189,12.9,40.7,13521,-1
1.9718552,1.9086713,20.7,23,68.5,5,10646,10646,15.9,48.1,25361,0
