"S0101_C01_001E","S1901_C01_012E","S2801_C02_011E","S2301_C04_001E","S0801_C01_046E","state","county"
84113,47390,9.1,6.3,17.6,"16","005"
5942,50603,15.8,3.7,23,"16","007"
45369,51307,12.9,5.2,21.9,"16","011"
110404,54150,9,3.8,19.2,"16","019"
886,36667,20.5,4.4,29.2,"16","025"
207027,46426,11.8,7.3,24.6,"16","027"
8533,41122,20.2,6.2,29,"16","035"
27410,58055,8,4.6,24.6,"16","051"
38697,43310,6.2,7.2,19.4,"16","057"
7755,36031,17.2,4.4,16,"16","059"
22839,48447,14.7,6.1,19.1,"16","075"
9050,43472,21.2,9.6,20.8,"16","009"
41855,45607,14.9,4.4,25.6,"16","017"
1055,31927,27.2,5,18.3,"16","033"
4141,37976,13.4,4.7,19.2,"16","037"
26232,45154,13.1,7.3,17.2,"16","039"
12889,51806,14.5,5.9,25.9,"16","043"
34442,49353,16.1,6.1,19.4,"17","137"
266153,56536,14,7.4,24.8,"17","119"
50333,71598,10,5.8,28.7,"17","063"
110801,56542,15.3,7.5,23.9,"17","091"
15794,55649,15.6,6.5,26.7,"17","131"
931826,84442,7.9,5.2,29.3,"17","043"
198134,58687,12.3,6.9,19.6,"17","167"
6776,31014,44.4,8.2,27.3,"17","003"
33562,50668,17,4.6,25.2,"17","021"
111151,54693,15.8,8.3,22.8,"17","099"
5771,64741,15.5,5.2,23.7,"17","155"
16176,55411,15.9,6.6,21.9,"17","039"
21980,44541,28.3,7.4,22.7,"17","051"
5109,48542,18,8.8,25.1,"17","171"
134695,60874,13.5,5.1,21.2,"17","179"
12880,50156,19.9,6.9,20.5,"17","017"
4360,41139,33.1,9.1,33.1,"17","151"
146205,51426,15.6,7.1,19.1,"17","161"
264433,51103,19.6,7.8,24.9,"17","163"
12416,62368,15,4.6,27.6,"17","129"
32829,49717,21.3,4.4,25.2,"17","157"
529402,74862,8.6,6.2,29,"17","089"
79207,44930,23.6,8.3,19.8,"17","183"
34670,58319,15.4,5.9,21.5,"17","103"
29488,58271,15.9,5.6,21.5,"17","107"
17429,47278,17.2,6.6,17.9,"17","187"
21906,49807,18.2,4.4,23.5,"17","173"
45960,53890,15.9,8.2,27.6,"17","117"
15953,46454,19.9,6.3,19.2,"17","159"
11568,49716,17.1,7.6,20.3,"17","185"
207946,49586,8.8,5.2,17.9,"17","019"
24430,40722,22,11.3,23.1,"17","165"
66787,48454,18.1,5.5,17,"17","001"
37640,64543,17.5,3.9,25.1,"17","027"
122933,89860,4.5,5,33,"17","093"
16457,44504,20.1,5.4,19,"17","101"
6791,56289,22.1,4.7,16.6,"17","009"
38305,44679,17.5,8.7,20.4,"17","121"
104473,58343,9,8.6,25.5,"17","037"
6570,49632,18.1,6.1,20.9,"17","047"
9608,56523,23.8,4.4,23.6,"17","079"
36812,54339,15.1,5.5,19.8,"17","105"
14711,53979,20.9,3,22.3,"17","139"
21467,45864,23.4,6.7,25,"17","145"
52540,41907,14.6,7.3,16.3,"17","029"
19214,47468,16.8,6.2,15.8,"17","033"
22215,56320,18.4,6.3,28.6,"17","083"
14594,42168,32.6,7.9,20.7,"17","127"
14260,54520,20.8,4.4,23.4,"17","189"
11925,55173,18.7,6.2,27.7,"17","123"
13904,44695,19.8,8,26.9,"17","125"
28457,48857,17.5,6.5,23.2,"17","075"
14704,50555,17.3,5.8,24.7,"17","015"
704476,82613,7.7,6.3,30,"17","097"
5691,34655,40.2,10.4,27.5,"17","153"
7181,47321,17.8,6.9,24.1,"17","169"
8259,47293,22.1,4,27.7,"17","065"
6927,47428,19,6,24.8,"17","071"
31597,42911,15.5,8.6,15.6,"17","109"
5551,52284,20.9,4.8,24.7,"17","175"
17603,47873,20.3,7.4,19.4,"17","045"
17034,54393,18.3,5.1,24.5,"17","005"
12899,45743,29,7.5,25,"17","087"
51374,41972,20.9,6.3,17.8,"17","095"
308043,82230,6.9,5.4,33.6,"17","111"
173231,64573,8.5,3.9,18,"17","113"
53638,62701,11.3,8.1,29,"17","007"
13393,47427,16.8,5,20.6,"17","025"
5226,42450,25,7.8,27.2,"17","059"
59115,36008,14.2,8.4,19.2,"17","077"
687727,80782,8.2,6,32.9,"17","197"
33619,54271,16.1,5.7,20.6,"17","011"
67477,48600,20.5,6.9,21.8,"17","199"
33739,74410,12.3,4.4,28.4,"17","133"
186145,53063,16,8.3,18.9,"17","143"
15924,52068,16.7,6.5,22.4,"17","023"
19830,52261,21.1,5.4,20.8,"17","041"
34164,54655,15.9,4.4,17.3,"17","049"
15930,41387,23.4,6.7,24.3,"17","149"
4897,53641,26.7,3.7,39.6,"17","013"
10899,50680,19.9,5,22.4,"17","035"
13470,50851,17.6,6.6,22.3,"17","053"
29173,47807,19.2,5.8,23.3,"17","135"
56823,51969,17.3,6,19.4,"17","195"
22046,55532,14.2,4.3,21.5,"17","085"
38358,46109,17.5,8.5,19.8,"17","081"
45839,46427,17.1,8,20.5,"17","177"
16569,46405,24.2,4.8,23.9,"17","191"
17267,46716,27.5,5.3,24.6,"17","181"
287512,51110,13.9,10,21.9,"17","201"
35733,48599,19.3,7.7,24.7,"17","057"
13311,44502,23.3,6.7,27.2,"17","061"
14186,46279,19.1,8.2,24.8,"17","193"
38942,69507,12.9,4.7,22.7,"17","203"
16433,67360,11.9,4.5,23.2,"17","147"
5238541,59426,14.1,8.7,32.9,"17","031"
51619,57655,14,6.5,26,"17","141"
107587,49052,16.9,9.2,17.9,"17","115"
18264,51460,22.2,6.6,23.4,"17","067"
4161,39524,27.1,22.2,27.8,"17","069"
49649,55755,17.7,5.1,22,"17","073"
39302,39454,23.9,8.9,24.8,"17","055"
12214,40622,19,6.8,23.5,"18","009"
19994,56188,16.4,5.2,28.4,"18","015"
23722,49243,18.7,5.6,26,"18","143"
39450,53897,15.1,6.6,29.4,"18","061"
66972,41813,18.6,6.5,19.6,"18","177"
158170,74245,6.9,4.5,27,"18","063"
36520,50063,14.6,3.9,20.2,"18","069"
110839,49921,14.3,8,22.1,"18","091"
42379,57307,15.6,2.9,19.1,"18","037"
22835,55588,19.7,5.3,30.1,"18","047"
67615,42046,18.2,7.6,18.3,"18","053"
31848,49052,14.6,5.5,19.6,"18","169"
24279,51404,15,4.4,24.9,"18","181"
33448,56574,13.8,5.2,27,"18","073"
21107,42878,23.3,6.1,19.6,"18","075"
72776,70973,8.8,4,26.1,"18","059"
43779,49080,19.2,6.2,20.5,"18","071"
82457,47958,15.8,6.5,19.9,"18","067"
5911,58359,22.3,3.3,31.3,"18","115"
309687,90582,4,3.3,25.5,"18","057"
42524,51374,13.6,4.6,20.7,"18","033"
38720,58336,36.1,2.9,22.9,"18","087"
81024,57331,14.9,5,19.6,"18","005"
16765,47955,20.6,4.7,26,"18","139"
63013,75591,8.6,3.3,24.9,"18","011"
20296,47108,19.3,3.8,22.8,"18","049"
488694,52559,15.6,8.5,28.3,"18","089"
38288,53075,13.4,4.4,21.9,"18","107"
47421,52393,14.5,5.7,21.9,"18","113"
35018,48290,25.1,5.2,22.8,"18","001"
20900,45031,24.1,5.9,22.8,"18","153"
15290,53931,14.9,3.8,23.7,"18","159"
33481,57041,12,3.6,22.9,"18","183"
8685,49183,14,4.2,26.3,"18","007"
15007,59292,13.1,5.9,33.3,"18","013"
114893,52834,14.5,5.7,24,"18","019"
32455,51659,14.6,5.2,23,"18","023"
186081,50486,7.7,5.2,17.7,"18","157"
107723,42030,16.1,7.9,19.9,"18","167"
61581,66080,10.2,3.4,23.6,"18","173"
37543,55295,11.3,5.1,25,"18","133"
7225,45531,18.8,3.9,23.6,"18","161"
27807,46861,23.6,7,31.4,"18","175"
32777,48355,27.8,5.4,25.5,"18","027"
49564,62905,12.3,5.8,28.7,"18","029"
48649,46131,19,7,26.8,"18","065"
12471,50196,22.6,3.8,25.2,"18","125"
12761,47633,18.2,6.9,21.7,"18","131"
25599,60992,12.8,3.4,23.6,"18","129"
34459,52749,12.5,4.9,22,"18","151"
10219,49372,22.1,4.2,26.4,"18","101"
167391,65979,10,5.7,27.2,"18","127"
44339,57216,16.3,4.9,23.5,"18","145"
37763,44837,13.4,5.4,18.4,"18","083"
45669,49985,18.9,5.2,23.6,"18","093"
129641,45432,17.1,6.8,25.9,"18","095"
19229,49689,23.7,3.9,23.5,"18","123"
14056,52193,14.6,7.1,31.2,"18","111"
19623,42803,24.2,4.6,25.6,"18","117"
268613,48121,16.6,6.4,21,"18","141"
202924,52449,17.2,5.6,19.4,"18","039"
22966,45526,19.3,7.6,30.3,"18","149"
10598,40067,24.6,4.3,32.7,"18","025"
78720,57190,14.5,4.6,19.7,"18","085"
46752,51869,18.6,6.8,22.4,"18","099"
10617,43468,22.8,6.6,37.4,"18","155"
181831,44815,15.2,5.2,19.6,"18","163"
38248,45558,17.3,6.4,20.6,"18","017"
32431,49648,23,6.2,28.7,"18","055"
939964,44869,16,8,23.3,"18","097"
23426,41476,20.7,7.5,26.1,"18","041"
26375,50924,17.2,4.9,26.2,"18","021"
8269,58950,15,4.7,25.6,"18","171"
15644,45440,17.7,5.1,24.3,"18","165"
27832,53038,14.5,3,21.3,"18","179"
20957,48315,22.2,6.3,30.8,"18","119"
17062,44643,25.9,6.3,27,"18","121"
25203,44985,17.6,5.6,24.5,"18","135"
28372,53698,15.8,5.7,27.2,"18","137"
20610,55280,21.7,5.7,26.8,"18","147"
367747,51091,11.9,6.3,21.3,"18","003"
26480,52270,17.8,4.8,21.4,"18","031"
115938,41208,14.2,7.9,20.6,"18","035"
76481,59451,15,5.1,22.6,"18","043"
32293,50722,16.6,6.9,24.2,"18","077"
27840,48362,19.5,6,26.3,"18","079"
149359,65272,9.4,4.6,26.1,"18","081"
36035,46666,15.5,7.8,24.1,"18","103"
69533,60317,12.2,5.7,28.1,"18","109"
33596,51149,15,3.5,21.5,"18","051"
144436,45689,8.4,6.3,18.7,"18","105"
16620,46669,17.9,6.3,25.4,"18","045"
40476,52752,16.4,5.3,17.5,"19","127"
17711,51114,22.6,3,21.5,"19","043"
10663,53675,19.7,3.6,17,"19","131"
10239,43674,16.6,6.7,19,"19","137"
48630,71514,10.2,3.8,23.7,"19","181"
26381,57906,11.5,4.4,21.4,"19","015"
6985,54430,16.8,3.1,24.5,"19","071"
15201,55836,16.8,2.3,18.4,"19","079"
6972,45969,16.9,3.5,18.2,"19","151"
6214,46825,18.9,2.8,21.2,"19","173"
12497,47597,18.2,4.3,17.5,"19","175"
7308,47197,23.8,4.8,22.3,"19","177"
7502,50880,21.3,6.2,20.5,"19","195"
4986,50642,22.1,5,20.3,"19","159"
43134,50569,17.1,4.1,16.3,"19","033"
15904,48607,19.6,2.7,19,"19","067"
20139,48412,18.6,3.5,19.5,"19","065"
14196,57558,17.1,1.7,26.4,"19","085"
9046,52529,15,6.2,19.6,"19","073"
9321,51422,19.8,2.9,17.8,"19","089"
25027,61316,14.3,2.9,17.8,"19","149"
21101,59348,17.6,3.2,22.4,"19","019"
17239,52207,19.8,2.5,17.9,"19","083"
15166,54868,15.6,2.1,14.7,"19","109"
11238,54393,17.7,4.1,24.3,"19","115"
8600,47325,16.7,4.2,19.8,"19","117"
11745,62012,11.7,2.4,16.2,"19","119"
14933,67949,14.1,3.2,24.7,"19","129"
8865,41598,19,3.2,21.1,"19","133"
42923,56398,15.1,3.5,17.2,"19","139"
10545,50072,16.4,7,16.7,"19","189"
9110,50470,14.8,1.3,15.3,"19","147"
9267,49718,14.1,4.4,24.3,"19","039"
8834,52390,28.2,3.5,22.9,"19","051"
17000,59889,11.3,3,15.7,"19","059"
6965,51978,19.5,3.2,18.1,"19","093"
144425,59965,6.3,3.3,18.9,"19","103"
35321,43329,17.8,6.3,18.1,"19","179"
6149,53604,16.4,1.7,19.1,"19","143"
467235,63530,9.1,4.7,19.4,"19","153"
11772,55638,18.3,3.7,18.8,"19","165"
12547,40377,21.2,6.3,19.6,"19","007"
19865,52275,16.3,5.5,18.7,"19","087"
36945,42148,18.7,5.7,16.5,"19","187"
95888,52671,5.7,4.4,17.7,"19","169"
3785,49745,20.7,4.2,19.6,"19","003"
7192,49477,16.2,3,22.3,"19","001"
5711,48750,19.2,2.7,19.2,"19","009"
12140,50688,18.3,2.5,19.6,"19","037"
9661,47419,17.6,3.9,16.7,"19","063"
10664,56306,16.8,3.5,26.2,"19","077"
10971,57840,17.9,1.7,18.2,"19","081"
16387,48978,13.4,3.4,16.3,"19","041"
47587,50295,18.5,4.2,19.5,"19","045"
9586,48847,18.7,3.3,19.1,"19","091"
15720,60077,15.2,5.2,28.2,"19","121"
8105,41042,23.7,5,24,"19","053"
33127,57917,15.2,3.6,19,"19","125"
22095,59157,15.5,3.6,20.7,"19","183"
12864,48935,20.4,5.8,15.9,"19","197"
34692,66022,12.1,2.2,12.9,"19","167"
10326,48172,23.2,4.6,16.8,"19","069"
13327,45637,18.2,2.5,18.4,"19","029"
11577,53998,16.6,3.3,16.1,"19","035"
9814,46302,19,2.3,20.4,"19","025"
20428,54563,19.3,2.5,14,"19","027"
17131,51091,20.9,6.2,16.3,"19","047"
10223,48399,21.6,5.3,23.9,"19","107"
39876,47524,16.2,5.6,15.9,"19","057"
18368,62555,14.5,3,25.3,"19","031"
7912,50179,15.9,5.6,22.4,"19","135"
17236,56110,14.7,3.8,22.7,"19","171"
17326,60534,16.5,2.5,22.6,"19","055"
17945,44516,13.2,6.7,14.8,"19","101"
6405,42434,27.4,2.6,23.8,"19","185"
13940,47895,23.4,3.3,24.3,"19","005"
220008,62702,10.9,3.8,18.8,"19","113"
171493,57681,15.7,4.2,19.1,"19","163"
80864,82719,6.1,2.4,21.1,"19","049"
24741,65440,14.5,3.6,20.2,"19","017"
9936,53254,16.4,4,17.1,"19","161"
22301,50568,15.5,5.6,18.3,"19","123"
20369,52784,13.9,4.9,13.9,"19","021"
16231,58077,14.8,2.1,22.5,"19","095"
36789,56363,15.6,4.6,22.9,"19","099"
13944,56314,16.3,2.3,16.3,"19","141"
25646,64061,14.7,3.6,23.8,"19","011"
14822,53937,21,3.2,24,"19","023"
96571,59150,12.5,3.9,16.4,"19","061"
102397,51350,16,4.8,17.8,"19","193"
132960,50916,14.4,5.3,15.7,"19","013"
15393,46708,16.2,3.9,13.9,"19","145"
20575,60788,16.1,2,17.9,"19","191"
12354,65170,15.4,2.9,21.1,"19","075"
19409,51806,21,4.7,23.3,"19","097"
18428,51456,14.9,4.6,17.1,"19","157"
93287,56291,15.3,4.7,20.5,"19","155"
20468,58391,18.2,4.2,24.6,"19","105"
34785,48266,18.6,7.6,17.5,"19","111"
33463,43977,18.2,5.8,16.6,"20","125"
2561,43427,17.2,1.7,15,"20","065"
8203,55434,19.7,3.3,19.7,"20","027"
25599,53167,16.4,5.4,23.7,"20","059"
34683,55687,16.9,2.9,19.6,"20","079"
39099,38017,15.9,5.4,16.4,"20","037"
19162,49663,17.9,5.4,21.1,"20","041"
18856,58935,14.9,5.8,30,"20","087"
3684,42173,17.4,2.8,13.7,"20","141"
16466,46640,20.4,6.3,19.8,"20","005"
28877,49562,11.9,2.8,12.8,"20","051"
6227,41648,24,3.9,22.8,"20","073"
20553,45706,17.6,4.7,15.8,"20","099"
14757,39379,23.2,2.2,17.1,"20","011"
37097,51703,13.6,4.7,14.3,"20","055"
2621,48160,15.2,1.9,14.1,"20","075"
2524,48226,19,3,14.5,"20","097"
79359,70022,9.7,4.2,22.6,"20","103"
578797,81121,5.5,3.5,20.9,"20","091"
5605,50338,15.9,2.3,21.3,"20","127"
9670,53415,19.2,4.1,12.8,"20","151"
2520,50893,16.8,1.5,15,"20","153"
5148,48352,16.8,3.4,16,"20","163"
117806,54370,6.4,4.7,20.4,"20","045"
2497,56607,14.7,2.1,13.4,"20","179"
32976,63501,12.2,4.4,27.9,"20","121"
7840,40986,23,4.2,24.2,"20","003"
6004,61220,11.4,2.8,15.5,"20","069"
1591,60000,22.1,5.4,13.9,"20","199"
2665,42772,24,4.8,20.9,"20","017"
2632,50817,14.6,1.2,12.8,"20","063"
4081,53780,15.1,3.6,13.7,"20","081"
1702,51765,12.9,3.5,14.4,"20","101"
3119,43594,19.1,4.9,19,"20","165"
4981,62198,9.2,5.4,14.6,"20","171"
12087,50212,19.3,3.9,20,"20","115"
9602,46576,23.6,5.8,32.8,"20","107"
510484,52841,14.7,5.6,18.8,"20","173"
178392,54667,15.2,5.4,18,"20","177"
5999,52030,13.9,4.1,15.3,"20","181"
2107,42222,16.8,2.1,11.1,"20","187"
22948,47535,17.9,7.3,14.8,"20","175"
4705,43489,24.7,2.6,17.6,"20","157"
2089,46094,22.5,1.5,17.4,"20","025"
6331,48550,17,3,16.5,"20","053"
35796,46096,9.6,8,16.2,"20","061"
5746,48059,17.8,3.7,16,"20","077"
34658,49890,16.6,6.3,14.4,"20","057"
5741,57500,10,4.5,15.7,"20","189"
5572,47992,22.7,2.2,19.2,"20","201"
2157,55109,14.5,2.3,11.8,"20","203"
3425,39531,24.4,6.2,19.7,"20","019"
3693,45357,20.5,3,14.5,"20","183"
7716,57474,13,4.6,14.5,"20","067"
16209,44402,23,2.9,16.6,"20","133"
3121,48693,18.7,6,18.8,"20","105"
55334,49728,15.9,4.2,14.8,"20","169"
1875,55345,14.2,2.8,16.9,"20","083"
2963,43125,24.1,2.2,18.4,"20","089"
5957,51797,19.8,3.3,23.7,"20","143"
5446,46806,15.1,1.8,14.1,"20","147"
13322,53592,18,5.6,25.1,"20","085"
3931,51439,13.9,3.9,16.3,"20","093"
9736,46964,18.3,3.4,18.2,"20","013"
23336,52695,17.9,5.1,23.5,"20","191"
9868,48333,18,6.5,16.5,"20","159"
4251,47121,16.9,3.7,19.3,"20","185"
75696,48428,6.5,5.6,14.9,"20","161"
2899,55197,9.4,0.8,20,"20","195"
6987,48427,21.3,4.8,14.7,"20","167"
33302,42992,12.7,5.8,17,"20","111"
9859,50420,18.6,4.1,15.5,"20","117"
2931,43813,19.9,8.7,17.7,"20","129"
5527,50673,23.6,2.5,13.6,"20","137"
63360,47897,16.4,5,17.5,"20","155"
7576,57593,16.7,4.7,22.1,"20","095"
2790,49926,15.4,3,13.1,"20","109"
6776,46224,19.2,1.2,14.8,"20","145"
6918,58947,17.9,4.3,27,"20","197"
8858,44468,24.9,5.1,17.1,"20","205"
28792,56946,11.8,2.5,13.5,"20","113"
15894,54186,18.7,7,29.5,"20","139"
4905,52075,15.1,2.5,15.8,"20","007"
2891,41230,18.3,2.8,16.9,"20","039"
3178,36493,26.7,5.5,23,"20","207"
6230,44591,17.3,3.8,9.6,"20","123"
7847,52465,7.4,1.9,11.1,"20","193"
4295,54167,17,2.8,15.3,"20","119"
27067,46070,16.5,4.2,17.9,"20","009"
10095,53368,17.1,1.8,15.9,"20","131"
23188,64410,10.8,3.9,21.1,"20","149"
12752,43031,20.6,3.6,17.4,"20","001"
2677,47167,19.6,1.7,13.2,"20","023"
1741,51563,14.7,1.8,13.4,"20","033"
35732,46624,16.3,5.2,18,"20","035"
9191,44199,18.6,5,17,"20","029"
7790,50300,22.5,4.5,20,"20","043"
2946,50229,18.1,2.9,19.2,"20","047"
163227,42783,17.2,8.3,21.5,"20","209"
20501,41101,19.4,5.4,18.8,"20","021"
66260,62324,12.8,4.5,22.7,"20","015"
2581,39405,22.8,6.9,27,"20","049"
3001,48412,21.1,2.6,12.9,"20","135"
1210,47045,16.4,1.1,12,"20","071"
8328,58662,13.9,3.7,19.9,"20","031"
4890,38860,20.3,7,26.2,"21","039"
10695,43345,23.6,10.3,18.5,"21","041"
10208,31130,34.8,7.4,18.4,"21","053"
14382,30692,27.6,12.4,33.4,"21","065"
8652,50250,23.8,6,29.4,"21","077"
17226,47906,19.1,8.9,34,"21","079"
36012,47517,15.4,8.7,23.1,"21","089"
21378,47574,21.7,9.1,26.4,"21","167"
14530,49706,20.9,4.8,33.9,"21","191"
2161,30694,36.2,5.9,34.4,"21","201"
17731,34660,29.5,9.4,20.6,"21","207"
18012,68916,10.7,5.6,32,"21","215"
11999,47843,23,5.7,26.5,"21","229"
12189,38763,23.8,7.8,25.5,"21","011"
8152,42988,21.2,4.7,23.6,"21","007"
43418,39658,19.8,7.6,20.7,"21","009"
29773,43076,18.2,4.9,20.5,"21","021"
11044,37388,27.8,5.1,26.9,"21","087"
8700,49135,19.1,6.2,22.5,"21","091"
27548,24451,31.2,10.7,20.6,"21","095"
12175,29239,28.5,15.4,35.5,"21","159"
107699,51923,12,6.4,22.2,"21","093"
24413,37930,26.6,8.7,28.2,"21","137"
9361,44242,19.1,7.1,27,"21","149"
10645,35665,28.5,7.7,23.6,"21","171"
24062,41470,23.4,10,24.3,"21","183"
12349,34647,29.3,5.4,28.5,"21","197"
14915,42139,20.6,7.3,20.3,"21","225"
13180,39273,23.8,6.1,25.3,"21","233"
12747,46182,21.9,6.9,22.4,"21","033"
38616,39269,14,5.7,16.6,"21","035"
15805,33031,27.2,7.5,28.9,"21","045"
72438,41849,19.4,8,17.3,"21","047"
27550,42172,18.2,7.9,22.8,"21","173"
99258,48371,15.9,6,19.2,"21","059"
26129,35944,20,6.4,28.2,"21","085"
46252,43458,18.1,4.8,20.8,"21","101"
15677,50787,19.9,6.5,30.5,"21","103"
45985,44048,22.9,5.9,21.3,"21","107"
13369,32055,27.5,8.6,29.3,"21","109"
59901,37235,21.7,9.9,20.1,"21","125"
31177,49126,14.8,6.3,23.2,"21","157"
28452,53732,13.5,8.2,30.7,"21","163"
7061,38900,28.6,6.8,32.9,"21","181"
64633,92237,5.6,3.5,27.7,"21","185"
10686,44031,27.1,5.3,31.9,"21","187"
16815,35888,25,9.7,24.7,"21","203"
52322,65598,9.6,4.8,21.1,"21","209"
123824,49508,12.5,5.6,20.2,"21","227"
20628,40598,23.3,7.5,24.1,"21","003"
20017,47886,19.7,6.9,22.7,"21","017"
48486,45543,14,9.3,21.6,"21","019"
78622,59917,12.3,5.9,28.1,"21","029"
9154,41114,26.7,4.4,24.5,"21","055"
315109,53013,9.4,6.1,20.9,"21","067"
6259,28274,26.4,7.6,21.9,"21","075"
23064,35629,22.5,9.2,26.7,"21","115"
15690,30503,26.5,13.6,29.3,"21","119"
6381,39688,27.9,5.4,30.9,"21","165"
13281,33523,28.2,8.1,35.2,"21","175"
31153,40037,25.6,9.6,23.8,"21","177"
27329,31820,24.1,13.1,22.7,"21","193"
63974,35022,23.9,8.6,21,"21","199"
7251,21999,36,10.5,31.1,"21","237"
20866,24596,26.6,9.1,29.5,"21","051"
19304,36575,26.3,6.2,22.2,"21","001"
27469,23558,33.6,9,20.6,"21","013"
13276,25861,32.5,11.9,27.7,"21","025"
6744,35449,28.9,5.1,19.9,"21","057"
37259,40369,22.8,7.7,22.7,"21","083"
18531,37315,27.6,6.6,29.1,"21","099"
6717,23297,36.6,10.3,32.1,"21","129"
12735,39362,28.1,5.4,26,"21","031"
19335,40005,26.1,9.4,20.4,"21","155"
14286,47259,23.1,10.4,26.8,"21","221"
25817,60604,10.5,3.8,21.9,"21","239"
127682,72731,7.5,4.9,24,"21","015"
10648,27861,31.6,14.6,32.6,"21","131"
51667,55450,11.1,6.9,23.9,"21","113"
31424,26061,38.8,10.7,21.6,"21","121"
15844,32703,25.5,7.8,31.8,"21","127"
8697,50998,14.4,10.5,28.7,"21","223"
12063,41114,21.3,9.3,29.8,"21","061"
18630,44620,26.7,6.9,24.6,"21","097"
4625,38036,32,8.5,18.9,"21","105"
8330,40458,22.4,7.6,35.6,"21","023"
8268,50268,23.5,3.4,20.3,"21","143"
45131,55182,15.6,5.9,26.2,"21","179"
20692,33715,35.6,10.1,20.9,"21","231"
13565,32054,29.5,7,32.4,"21","135"
23011,30293,23.9,12.2,25.6,"21","133"
9288,43472,25.2,5.9,25.2,"21","139"
65285,42894,19.7,4.9,18.1,"21","145"
61586,32972,21.7,10.9,24.1,"21","195"
45831,63171,13.8,4.4,25.4,"21","211"
36027,34103,29.6,9.2,20.6,"21","235"
22017,51681,14.7,6.3,26.6,"21","005"
19991,44057,25.6,9.8,31.6,"21","027"
37447,31196,23.6,11.6,23,"21","071"
49969,53539,13.7,7.2,19,"21","073"
163987,58674,11.5,5.3,23.4,"21","117"
17748,19264,41.6,15.8,28.2,"21","147"
88376,46674,12.3,6.9,22.6,"21","151"
12783,29578,29,10.3,31.8,"21","153"
9990,35594,21.9,5.8,25.2,"21","169"
4497,22736,30.7,12.5,22.6,"21","189"
24392,36411,15.8,4.5,22.1,"21","205"
17881,44989,25.8,5.1,19.5,"21","213"
25406,36455,22.9,7.6,19,"21","217"
35757,51547,15.4,6.7,23.1,"21","049"
12377,38248,31.6,6.9,26.4,"21","219"
14515,41095,25.7,9.5,29.4,"21","069"
91804,57208,12.3,5.4,22.4,"21","037"
27385,35095,25,10,30.3,"21","043"
7533,29043,32.9,5,39,"21","063"
24800,43881,19.9,4.9,30.2,"21","081"
764378,52237,14.4,6.4,22.2,"21","111"
14102,41720,14.9,6.3,26.7,"21","123"
26847,40982,29.9,6.2,23.3,"21","141"
17167,43082,24.2,5.8,25.8,"21","161"
54468,51438,13.4,5.7,23.1,"23","009"
152284,47886,13.8,6.5,22.5,"23","019"
289173,65702,9.1,4,22.9,"23","005"
16960,38797,18.9,7.8,25.4,"23","021"
39700,53117,11.7,4.7,17.4,"23","013"
35149,60457,11.6,4.1,22.9,"23","023"
201454,62618,11,4.8,28,"23","031"
121289,50116,14.2,5.7,23.4,"23","011"
30177,45541,13.6,6.1,23.7,"23","007"
50994,41549,18.8,8.8,24.4,"23","025"
57230,44582,17.2,6.3,28.4,"23","017"
107317,49538,13.4,5.2,24.2,"23","001"
34021,54041,11,3.4,24.8,"23","015"
39280,50162,13.5,6.5,26.4,"23","027"
68840,39021,20.2,5.3,17.6,"23","003"
31822,40328,19.5,7.9,20.9,"23","029"
564600,94502,7.2,5.2,30.2,"24","003"
828637,71810,10.6,5.5,29.5,"24","005"
246105,88502,8.9,5.1,35,"24","021"
90824,100350,7.1,7.3,41.9,"24","009"
29516,48174,19.5,4.8,24.2,"24","023"
19666,56638,18.3,4.8,26.7,"24","029"
1039198,103178,4.9,5.4,34.7,"24","031"
167319,90510,9.9,4,35.6,"24","013"
49071,89241,9.4,3.7,36.2,"24","035"
110979,86508,12.5,4.2,30.9,"24","037"
156021,93973,10,4.5,43.9,"24","017"
32386,50532,18,8.3,26.3,"24","019"
149546,58260,17,6.8,29.3,"24","043"
102014,54493,11.9,7.6,21.2,"24","045"
102416,70516,13.2,5.8,29.3,"24","015"
32785,52469,17.6,6.5,32.1,"24","011"
51559,59458,14.3,7.1,24.3,"24","047"
619796,46641,18.2,10,30.7,"24","510"
25801,39239,19.3,10.2,24.9,"24","039"
37461,65595,12.4,4.4,26.6,"24","041"
250132,83445,9,5.2,32.1,"24","025"
72591,42771,21.6,9,20.9,"24","001"
312495,115576,3.8,4.2,30.9,"24","027"
905161,78607,7.8,7.3,36.9,"24","033"
119129,74748,10.1,6.3,30,"22","005"
238230,53950,12.2,5.1,24.1,"22","055"
15376,55647,17.5,4.5,25.4,"22","125"
437038,50868,16.4,5.9,24,"22","051"
36598,47350,17,7.4,30.1,"22","011"
13806,34077,29.8,7.4,32.6,"22","013"
125698,52145,15.2,5.8,21.7,"22","015"
6806,60194,18.1,3,33.6,"22","023"
19553,46964,23.6,6.1,30.6,"22","037"
33750,31745,30.2,11.9,28.3,"22","039"
73346,44504,20.5,11.2,24.2,"22","045"
47536,34424,15.3,8.8,19.3,"22","061"
45067,45265,19.3,10.7,27,"22","087"
10509,35254,29.3,15.7,38.5,"22","091"
40043,30891,34.1,6.5,24.2,"22","119"
25518,60902,15.1,5.7,23.8,"22","121"
27164,41443,22.8,10.6,29.2,"22","031"
33122,47128,21.8,7.5,24.9,"22","047"
8723,41510,25.3,4.7,33.9,"22","081"
16296,26877,33.7,9.4,26.2,"22","027"
