"S0101_C01_001E","S1901_C01_012E","S2801_C02_011E","S2301_C04_001E","S0801_C01_046E","state","county"
121282,50316,11.9,5.1,24,"05","045"
41093,40072,18.7,5.8,16.4,"05","005"
20771,36407,24.5,9.9,20.4,"05","003"
10893,36893,25.3,5.1,27.7,"05","109"
71373,37630,21,10,20.9,"05","069"
104246,45672,12.4,6,18.5,"05","031"
251823,61271,9.7,3.1,19.9,"05","007"
16777,37603,25.4,8.2,26.1,"05","075"
44197,45566,15.5,7,20.3,"05","055"
16374,36113,19.4,7.7,22.1,"05","089"
9059,35252,28.3,4.4,30,"05","097"
7051,32500,35.9,8.3,25.1,"05","073"
10320,46168,20.7,6.5,33.3,"05","105"
19518,26652,31.3,15.7,18.2,"05","107"
10584,37396,27.1,10.6,19.7,"05","127"
7925,36716,27.2,3.6,28.9,"05","129"
24098,37487,23.3,5.4,24,"05","111"
17206,43675,22.7,6.6,25.8,"05","133"
7420,31584,33.1,9.1,22,"05","095"
26688,33102,31.8,10,19.7,"05","123"
11008,32412,29,10.1,21.8,"05","017"
33480,40626,19.1,6.2,26.1,"05","059"
20212,33870,22.7,8.5,23,"05","113"
20954,39638,25.8,7.1,25.8,"05","029"
392848,48850,15.8,5.9,20.3,"05","119"
78706,44074,17.1,6.2,24,"05","145"
13472,34851,23,5.7,20.2,"05","061"
97994,41672,15.7,9,21.9,"05","051"
43534,36417,22.1,11.6,17.8,"05","093"
71568,57290,14.2,4.8,27.3,"05","085"
21601,39696,27.1,6.3,20.8,"05","149"
127362,40932,19.5,5.6,19,"05","131"
62119,43504,18.2,6.2,22.4,"05","033"
26155,35758,24.6,4.7,20.5,"05","071"
9614,27901,33.1,15.3,20.8,"05","077"
15907,42894,25.4,4.5,31.7,"05","087"
24378,32136,33.7,8.3,22.2,"05","103"
7898,38134,28.2,4,30.5,"05","101"
8528,36995,36.3,4.8,29.9,"05","099"
15190,32219,26.7,5.3,23.3,"05","021"
12094,27036,26.9,12.2,19.3,"05","041"
27782,39686,19.6,5.1,19.8,"05","015"
18620,36092,21.7,9,21.7,"05","043"
23992,37072,27.2,9.5,17.3,"05","027"
17514,35930,25.6,3.5,28.6,"05","121"
63372,40668,16.8,7.3,18.5,"05","115"
8309,41244,27.5,7.6,26.8,"05","117"
43760,41862,17.2,8,18.4,"05","091"
5194,37225,26.7,5.7,24.4,"05","013"
22495,37144,23.4,4.5,21.3,"05","019"
10994,36310,27.6,9.4,22,"05","011"
12092,36051,18.3,6.9,23.3,"05","049"
724153,57813,13.6,10.1,32,"06","077"
37306,60636,13.2,9.3,32,"06","005"
267390,46338,13.2,14.6,27,"06","047"
64095,40446,18.7,11.2,28.9,"06","033"
17658,51385,17.1,10,30.9,"06","043"
9017,39296,24.6,7.5,15.2,"06","049"
74644,51776,10.5,9.9,30.7,"06","115"
1123678,88456,6.6,6.9,37.1,"06","013"
18195,51500,12.6,5.2,16.9,"06","027"
31470,54083,17.6,7.5,20.9,"06","035"
535684,54260,12.5,11.8,28.2,"06","099"
442996,68023,10.6,6.6,19.4,"06","083"
178919,47258,14.4,6.8,19.9,"06","089"
434981,72950,8.4,8.5,31.8,"06","095"
27442,41287,15,9.5,14.4,"06","015"
21479,56481,17.7,5.9,24.7,"06","011"
27935,46260,19.4,9.2,24,"06","021"
225207,46516,10.8,9.1,20.1,"06","007"
150183,49742,14.5,9.7,22.4,"06","031"
18724,50266,17.4,9.4,21.9,"06","063"
280119,67175,8.2,4.8,21.8,"06","079"
971616,48730,14.7,10.4,22.4,"06","019"
878744,50826,17,10.9,23.4,"06","029"
3155816,81851,6.6,5.8,27.4,"06","059"
847834,81972,9.1,6.6,26.6,"06","111"
45057,54800,15.7,7.1,35.5,"06","009"
95583,54347,12.8,10.5,26.4,"06","101"
763450,105667,6.3,4.7,28.2,"06","081"
53899,54325,13.6,7.9,27,"06","109"
500943,71769,8.2,5.9,25.2,"06","097"
63247,42512,17.8,10.1,23.5,"06","103"
179957,44779,17.5,16,20.8,"06","025"
14058,60595,11.5,3.6,16.1,"06","051"
58671,80760,6.9,8.8,34.1,"06","069"
1629615,85743,7.5,6,32.5,"06","001"
1495400,60239,8.3,8.8,26.9,"06","067"
185015,74885,8,8.1,29.1,"06","017"
141005,79637,8,5.4,24.1,"06","055"
433168,63249,14.5,6,22.4,"06","053"
864263,96265,9.2,5.4,32.8,"06","075"
2885,44190,24.2,5.3,29.6,"06","091"
3283665,70588,7.3,7.1,25.7,"06","073"
458809,44871,19.1,10,22.5,"06","107"
212605,61621,8.5,7.2,23.2,"06","113"
135490,43718,11.5,8.9,18.2,"06","023"
98838,60610,10.1,7.3,24.5,"06","057"
1203,63438,8.6,14.6,21.9,"06","003"
154440,48210,15.8,8.3,25.6,"06","039"
87497,46528,15.7,10.4,19.8,"06","045"
273263,73663,9.1,6.7,26.8,"06","087"
13037,36563,18.5,9.6,17.4,"06","105"
10105722,61015,11.3,7.8,30.9,"06","037"
2355002,60807,9.8,9.9,33.1,"06","065"
2121220,57156,10.7,9.9,30.9,"06","071"
1911226,106761,5.6,5.7,28,"06","085"
260814,104703,6.9,4.5,31.7,"06","041"
374985,80488,6.8,5.6,27.3,"06","061"
43530,40884,16.8,9.1,18.9,"06","093"
14151,40586,23.5,7.8,20.6,"08","071"
10109,44668,21.1,2.4,15.7,"08","125"
5520,44725,15.4,3.7,17.3,"08","073"
24359,67472,6.8,3.1,17.9,"08","107"
29722,73538,3.4,3.3,16.4,"08","117"
16345,36315,18.5,9.9,14.6,"08","003"
9257,68534,6.8,3.2,30.3,"08","019"
30217,42487,17.8,8.5,24.3,"08","029"
46601,44712,14.4,6.2,22.7,"08","043"
163368,42386,16,9.3,21.8,"08","101"
40908,44865,17.2,8,17.8,"08","085"
