"population","median_income","state","county"
18325,35051,"08","089"
64283,85639,"08","014"
4653,61333,"08","091"
6557,57991,"08","103"
2357,49583,"08","115"
285729,66489,"08","123"
8147,35657,"08","021"
4505,41330,"08","027"
3628,29000,"08","023"
487850,64087,"08","001"
320940,111154,"08","035"
53726,83803,"08","037"
7481,46176,"08","065"
54469,62533,"08","067"
13056,53010,"08","081"
17747,67755,"08","097"
11430,38534,"08","105"
2127,54907,"08","017"
5806,32500,"08","011"
5514,35292,"08","025"
1736,40352,"08","033"
569,46397,"08","111"
1372,45994,"08","057"
330976,64980,"08","069"
21885,44876,"08","075"
25770,45645,"08","083"
7804,62243,"08","113"
23769,66809,"08","119"
316782,75669,"08","013"
24553,92849,"08","039"
4327,50076,"08","095"
12592,48016,"08","007"
678467,60098,"08","031"
1368,39250,"08","061"
6498,35801,"08","055"
3581,35898,"08","009"
18818,53762,"08","015"
5793,72544,"08","047"
7846,45881,"08","063"
57945,66503,"08","045"
16215,52651,"08","051"
564029,75170,"08","059"
834,50385,"08","079"
862127,64872,"09","009"
184454,76438,"09","005"
897417,69936,"09","003"
116674,62553,"09","015"
270772,69411,"09","011"
164110,81673,"09","007"
151596,81312,"09","013"
947328,89773,"09","001"
672391,77649,"11","001"
555036,68336,"10","003"
215551,57901,"10","005"
173145,57647,"10","001"
17191,42934,"12","041"
100177,36374,"12","055"
43814,40600,"12","121"
259865,45478,"12","001"
35675,35435,"12","027"
14458,36237,"12","013"
173236,46511,"12","015"
68484,43504,"12","023"
16323,35910,"12","029"
155719,55588,"12","085"
72435,33619,"12","107"
404839,55236,"12","115"
15300,37460,"12","125"
24472,36989,"12","133"
912043,51296,"12","031"
26775,46106,"12","007"
568183,51536,"12","009"
203291,61971,"12","019"
8684,41512,"12","067"
326215,49734,"12","069"
78435,64294,"12","089"
949842,48968,"12","103"
652256,45988,"12","105"
298763,47132,"12","111"
13197,37385,"12","043"
39064,37966,"12","051"
147981,49009,"12","061"
48571,36944,"12","063"
1426772,57256,"12","099"
226578,73640,"12","109"
449260,60739,"12","117"
2702602,46338,"12","086"
363542,53408,"12","081"
141373,40574,"12","017"
39713,36554,"12","075"
27537,59506,"12","003"
166778,62731,"12","113"
518660,43838,"12","127"
285890,49941,"12","073"
1890416,54895,"12","011"
18518,31816,"12","079"
76745,63030,"12","087"
309924,47361,"12","033"
179144,44324,"12","053"
1351087,53742,"12","057"
197591,59955,"12","091"
22350,37188,"12","123"
31586,57866,"12","129"
180117,50283,"12","005"
105015,51049,"12","035"
11675,41267,"12","037"
16018,44647,"12","045"
14238,36209,"12","047"
8347,36741,"12","077"
325168,47343,"12","097"
116754,54771,"12","119"
63457,50619,"12","131"
46113,39830,"12","039"
19483,37474,"12","059"
14085,47599,"12","065"
700165,52052,"12","071"
343778,41964,"12","083"
27326,39063,"12","049"
356774,62407,"12","021"
40228,39059,"12","093"
1290216,51586,"12","095"
498136,48289,"12","101"
11279,38824,"13","005"
18411,36812,"13","025"
211300,96445,"13","117"
43878,44474,"13","137"
25535,41216,"13","147"
113941,39911,"13","185"
14061,43285,"13","191"
21152,36368,"13","199"
26795,50666,"13","207"
21430,48340,"13","237"
30687,34219,"13","261"
1844,30500,"13","265"
5410,32860,"13","301"
3251,43867,"13","007"
34883,68589,"13","029"
23556,39655,"13","035"
10894,33125,"13","043"
52252,53687,"13","039"
114898,46844,"13","045"
12385,41032,"13","079"
10405,29493,"13","099"
23005,33194,"13","081"
43048,36572,"13","069"
138015,67570,"13","077"
739072,72004,"13","067"
29614,46211,"13","123"
16282,43163,"13","083"
88695,55876,"13","297"
9905,34234,"13","317"
15629,34890,"13","027"
21063,35290,"13","091"
56424,43452,"13","129"
19288,35207,"13","105"
235896,75477,"13","057"
110306,84861,"13","113"
8929,27197,"13","165"
29216,65018,"13","177"
105042,52784,"13","217"
30343,61542,"13","227"
16732,45069,"13","133"
45890,34503,"13","071"
17190,35539,"13","075"
23397,62284,"13","085"
274150,44106,"13","063"
1010420,61336,"13","121"
192865,55622,"13","139"
8667,29268,"13","141"
31567,43039,"13","187"
21488,40469,"13","189"
5884,37255,"13","201"
18013,59572,"13","211"
11607,44897,"13","149"
35972,77388,"13","219"
91522,34541,"13","095"
24480,43344,"13","111"
217506,64752,"13","151"
150341,55965,"13","153"
47451,35202,"13","175"
17857,53083,"13","183"
64192,42398,"13","255"
25625,39756,"13","257"
16339,28044,"13","271"
22262,42767,"13","291"
26241,35375,"13","293"
20506,38097,"13","303"
27027,43645,"13","225"
152399,63669,"13","223"
19141,39863,"13","229"
17919,52377,"13","231"
201568,39430,"13","245"
14037,36556,"13","251"
25402,36355,"13","267"
19014,38297,"13","019"
28722,43663,"13","143"
63851,57999,"13","157"
15954,29640,"13","163"
28509,43944,"13","311"
28540,55110,"13","169"
7768,37711,"13","181"
39444,41617,"13","213"
198647,43239,"13","215"
11396,38750,"13","235"
16354,39297,"13","241"
5832,22413,"13","259"
11173,41182,"13","281"
6752,39375,"13","283"
8036,42622,"13","287"
9278,34677,"13","155"
8313,33063,"13","003"
18471,37089,"13","001"
68609,43581,"13","295"
889954,64496,"13","135"
75099,56119,"13","013"
12963,43257,"13","049"
6788,21838,"13","065"
102623,52393,"13","015"
140152,59333,"13","097"
25048,39462,"13","131"
14999,37267,"13","161"
8962,40308,"13","209"
14654,43938,"13","221"
7206,30640,"13","243"
88482,54175,"13","247"
35688,36962,"13","299"
29833,41534,"13","305"
7952,28490,"13","309"
103963,43871,"13","313"
6503,29617,"13","037"
13675,30851,"13","193"
69433,43597,"13","285"
8896,35457,"13","315"
45527,37008,"13","009"
18363,42182,"13","011"
73742,39305,"13","031"
123554,34557,"13","059"
3024,23315,"13","061"
4011,34315,"13","101"
83467,47546,"13","127"
736066,55876,"13","089"
153923,38183,"13","021"
33198,69539,"13","145"
8558,39015,"13","197"
5168,41267,"13","249"
20809,40369,"13","321"
12779,40688,"13","023"
14053,33389,"13","093"
10757,38736,"13","109"
22328,39246,"13","119"
2627,36658,"13","307"
57087,64279,"13","103"
18282,41157,"13","171"
3027,45273,"13","125"
22502,33089,"13","107"
2140,26750,"13","239"
285506,52215,"13","051"
13732,42067,"13","159"
9800,36423,"13","167"
10388,31109,"13","173"
62120,43493,"13","179"
28600,47653,"13","195"
22574,34122,"13","205"
8549,33999,"13","253"
40531,38728,"13","277"
8323,30629,"13","289"
41444,40652,"13","233"
6423,37226,"13","263"
8267,29875,"13","269"
8978,32219,"13","273"
44909,41336,"13","275"
27160,35750,"13","279"
9147,38711,"13","319"
17272,32344,"13","017"
22645,38707,"13","033"
65870,54537,"13","047"
11096,46096,"13","053"
24880,35718,"13","055"
143723,74162,"13","073"
27023,36934,"13","087"
96471,46096,"13","115"
196325,56395,"15","001"
990060,80078,"15","003"
164094,72762,"15","009"
71093,72330,"15","007"
86,61750,"15","005"
38241,33620,"16","065"
12490,39835,"16","079"
16275,40299,"16","049"
10776,55986,"16","081"
7667,47602,"16","077"
9996,37521,"16","087"
4284,43491,"16","071"
23472,48162,"16","031"
16850,42888,"16","045"
5296,46383,"16","063"
10104,54015,"16","085"
3946,42727,"16","003"
13120,51583,"16","041"
40014,51804,"16","069"
23039,46421,"16","053"
150128,53189,"16","055"
3824,40313,"16","061"
20448,48021,"16","067"
82248,49118,"16","083"
11384,36092,"16","073"
21583,58835,"16","013"
6968,49964,"16","015"
11323,39512,"16","021"
2613,43207,"16","023"
6862,58750,"16","029"
15110,42626,"16","047"
435117,60151,"16","001"
84113,47390,"16","005"
5942,50603,"16","007"
45369,51307,"16","011"
110404,54150,"16","019"
886,36667,"16","025"
207027,46426,"16","027"
8533,41122,"16","035"
27410,58055,"16","051"
38697,43310,"16","057"
7755,36031,"16","059"
22839,48447,"16","075"
9050,43472,"16","009"
41855,45607,"16","017"
1055,31927,"16","033"
4141,37976,"16","037"
26232,45154,"16","039"
12889,51806,"16","043"
34442,49353,"17","137"
266153,56536,"17","119"
50333,71598,"17","063"
110801,56542,"17","091"
15794,55649,"17","131"
931826,84442,"17","043"
198134,58687,"17","167"
6776,31014,"17","003"
33562,50668,"17","021"
111151,54693,"17","099"
5771,64741,"17","155"
16176,55411,"17","039"
21980,44541,"17","051"
5109,48542,"17","171"
134695,60874,"17","179"
12880,50156,"17","017"
4360,41139,"17","151"
146205,51426,"17","161"
264433,51103,"17","163"
12416,62368,"17","129"
32829,49717,"17","157"
529402,74862,"17","089"
79207,44930,"17","183"
34670,58319,"17","103"
29488,58271,"17","107"
17429,47278,"17","187"
21906,49807,"17","173"
45960,53890,"17","117"
15953,46454,"17","159"
11568,49716,"17","185"
207946,49586,"17","019"
24430,40722,"17","165"
66787,48454,"17","001"
37640,64543,"17","027"
122933,89860,"17","093"
16457,44504,"17","101"
6791,56289,"17","009"
38305,44679,"17","121"
104473,58343,"17","037"
6570,49632,"17","047"
9608,56523,"17","079"
36812,54339,"17","105"
14711,53979,"17","139"
21467,45864,"17","145"
52540,41907,"17","029"
19214,47468,"17","033"
22215,56320,"17","083"
14594,42168,"17","127"
14260,54520,"17","189"
11925,55173,"17","123"
13904,44695,"17","125"
28457,48857,"17","075"
14704,50555,"17","015"
704476,82613,"17","097"
5691,34655,"17","153"
7181,47321,"17","169"
8259,47293,"17","065"
6927,47428,"17","071"
31597,42911,"17","109"
5551,52284,"17","175"
17603,47873,"17","045"
17034,54393,"17","005"
12899,45743,"17","087"
51374,41972,"17","095"
308043,82230,"17","111"
173231,64573,"17","113"
53638,62701,"17","007"
13393,47427,"17","025"
5226,42450,"17","059"
59115,36008,"17","077"
687727,80782,"17","197"
33619,54271,"17","011"
67477,48600,"17","199"
33739,74410,"17","133"
186145,53063,"17","143"
15924,52068,"17","023"
19830,52261,"17","041"
34164,54655,"17","049"
15930,41387,"17","149"
4897,53641,"17","013"
10899,50680,"17","035"
13470,50851,"17","053"
29173,47807,"17","135"
56823,51969,"17","195"
22046,55532,"17","085"
38358,46109,"17","081"
45839,46427,"17","177"
16569,46405,"17","191"
17267,46716,"17","181"
287512,51110,"17","201"
35733,48599,"17","057"
13311,44502,"17","061"
14186,46279,"17","193"
38942,69507,"17","203"
16433,67360,"17","147"
5238541,59426,"17","031"
51619,57655,"17","141"
107587,49052,"17","115"
18264,51460,"17","067"
4161,39524,"17","069"
49649,55755,"17","073"
39302,39454,"17","055"
12214,40622,"18","009"
19994,56188,"18","015"
23722,49243,"18","143"
39450,53897,"18","061"
66972,41813,"18","177"
158170,74245,"18","063"
36520,50063,"18","069"
110839,49921,"18","091"
42379,57307,"18","037"
22835,55588,"18","047"
67615,42046,"18","053"
31848,49052,"18","169"
24279,51404,"18","181"
33448,56574,"18","073"
21107,42878,"18","075"
72776,70973,"18","059"
43779,49080,"18","071"
82457,47958,"18","067"
5911,58359,"18","115"
309687,90582,"18","057"
42524,51374,"18","033"
38720,58336,"18","087"
81024,57331,"18","005"
16765,47955,"18","139"
63013,75591,"18","011"
20296,47108,"18","049"
488694,52559,"18","089"
38288,53075,"18","107"
47421,52393,"18","113"
35018,48290,"18","001"
20900,45031,"18","153"
15290,53931,"18","159"
33481,57041,"18","183"
8685,49183,"18","007"
15007,59292,"18","013"
114893,52834,"18","019"
32455,51659,"18","023"
186081,50486,"18","157"
107723,42030,"18","167"
61581,66080,"18","173"
37543,55295,"18","133"
7225,45531,"18","161"
27807,46861,"18","175"
32777,48355,"18","027"
49564,62905,"18","029"
48649,46131,"18","065"
12471,50196,"18","125"
12761,47633,"18","131"
25599,60992,"18","129"
34459,52749,"18","151"
10219,49372,"18","101"
167391,65979,"18","127"
44339,57216,"18","145"
37763,44837,"18","083"
45669,49985,"18","093"
129641,45432,"18","095"
19229,49689,"18","123"
14056,52193,"18","111"
19623,42803,"18","117"
268613,48121,"18","141"
202924,52449,"18","039"
22966,45526,"18","149"
10598,40067,"18","025"
78720,57190,"18","085"
46752,51869,"18","099"
10617,43468,"18","155"
181831,44815,"18","163"
38248,45558,"18","017"
32431,49648,"18","055"
939964,44869,"18","097"
23426,41476,"18","041"
26375,50924,"18","021"
8269,58950,"18","171"
15644,45440,"18","165"
27832,53038,"18","179"
20957,48315,"18","119"
17062,44643,"18","121"
25203,44985,"18","135"
28372,53698,"18","137"
20610,55280,"18","147"
367747,51091,"18","003"
26480,52270,"18","031"
115938,41208,"18","035"
76481,59451,"18","043"
32293,50722,"18","077"
27840,48362,"18","079"
149359,65272,"18","081"
36035,46666,"18","103"
69533,60317,"18","109"
33596,51149,"18","051"
144436,45689,"18","105"
16620,46669,"18","045"
40476,52752,"19","127"
17711,51114,"19","043"
10663,53675,"19","131"
10239,43674,"19","137"
48630,71514,"19","181"
26381,57906,"19","015"
6985,54430,"19","071"
15201,55836,"19","079"
6972,45969,"19","151"
6214,46825,"19","173"
12497,47597,"19","175"
7308,47197,"19","177"
7502,50880,"19","195"
4986,50642,"19","159"
43134,50569,"19","033"
15904,48607,"19","067"
20139,48412,"19","065"
14196,57558,"19","085"
9046,52529,"19","073"
9321,51422,"19","089"
25027,61316,"19","149"
21101,59348,"19","019"
17239,52207,"19","083"
15166,54868,"19","109"
11238,54393,"19","115"
8600,47325,"19","117"
11745,62012,"19","119"
14933,67949,"19","129"
8865,41598,"19","133"
42923,56398,"19","139"
10545,50072,"19","189"
9110,50470,"19","147"
9267,49718,"19","039"
8834,52390,"19","051"
17000,59889,"19","059"
6965,51978,"19","093"
144425,59965,"19","103"
35321,43329,"19","179"
6149,53604,"19","143"
467235,63530,"19","153"
11772,55638,"19","165"
12547,40377,"19","007"
19865,52275,"19","087"
36945,42148,"19","187"
95888,52671,"19","169"
3785,49745,"19","003"
7192,49477,"19","001"
5711,48750,"19","009"
12140,50688,"19","037"
9661,47419,"19","063"
10664,56306,"19","077"
10971,57840,"19","081"
16387,48978,"19","041"
47587,50295,"19","045"
9586,48847,"19","091"
15720,60077,"19","121"
8105,41042,"19","053"
33127,57917,"19","125"
22095,59157,"19","183"
12864,48935,"19","197"
34692,66022,"19","167"
10326,48172,"19","069"
13327,45637,"19","029"
11577,53998,"19","035"
9814,46302,"19","025"
20428,54563,"19","027"
17131,51091,"19","047"
10223,48399,"19","107"
39876,47524,"19","057"
18368,62555,"19","031"
7912,50179,"19","135"
17236,56110,"19","171"
17326,60534,"19","055"
17945,44516,"19","101"
6405,42434,"19","185"
13940,47895,"19","005"
220008,62702,"19","113"
171493,57681,"19","163"
80864,82719,"19","049"
24741,65440,"19","017"
9936,53254,"19","161"
22301,50568,"19","123"
20369,52784,"19","021"
16231,58077,"19","095"
36789,56363,"19","099"
13944,56314,"19","141"
25646,64061,"19","011"
14822,53937,"19","023"
96571,59150,"19","061"
102397,51350,"19","193"
132960,50916,"19","013"
15393,46708,"19","145"
20575,60788,"19","191"
12354,65170,"19","075"
19409,51806,"19","097"
18428,51456,"19","157"
93287,56291,"19","155"
20468,58391,"19","105"
34785,48266,"19","111"
33463,43977,"20","125"
2561,43427,"20","065"
8203,55434,"20","027"
25599,53167,"20","059"
34683,55687,"20","079"
39099,38017,"20","037"
19162,49663,"20","041"
18856,58935,"20","087"
3684,42173,"20","141"
16466,46640,"20","005"
28877,49562,"20","051"
6227,41648,"20","073"
20553,45706,"20","099"
14757,39379,"20","011"
37097,51703,"20","055"
2621,48160,"20","075"
2524,48226,"20","097"
79359,70022,"20","103"
578797,81121,"20","091"
5605,50338,"20","127"
9670,53415,"20","151"
2520,50893,"20","153"
5148,48352,"20","163"
117806,54370,"20","045"
2497,56607,"20","179"
32976,63501,"20","121"
7840,40986,"20","003"
6004,61220,"20","069"
1591,60000,"20","199"
2665,42772,"20","017"
2632,50817,"20","063"
4081,53780,"20","081"
1702,51765,"20","101"
3119,43594,"20","165"
4981,62198,"20","171"
12087,50212,"20","115"
9602,46576,"20","107"
510484,52841,"20","173"
178392,54667,"20","177"
5999,52030,"20","181"
2107,42222,"20","187"
22948,47535,"20","175"
4705,43489,"20","157"
2089,46094,"20","025"
6331,48550,"20","053"
35796,46096,"20","061"
5746,48059,"20","077"
34658,49890,"20","057"
5741,57500,"20","189"
5572,47992,"20","201"
2157,55109,"20","203"
3425,39531,"20","019"
3693,45357,"20","183"
7716,57474,"20","067"
16209,44402,"20","133"
3121,48693,"20","105"
55334,49728,"20","169"
1875,55345,"20","083"
2963,43125,"20","089"
5957,51797,"20","143"
5446,46806,"20","147"
13322,53592,"20","085"
3931,51439,"20","093"
9736,46964,"20","013"
23336,52695,"20","191"
9868,48333,"20","159"
4251,47121,"20","185"
75696,48428,"20","161"
2899,55197,"20","195"
6987,48427,"20","167"
33302,42992,"20","111"
9859,50420,"20","117"
2931,43813,"20","129"
5527,50673,"20","137"
63360,47897,"20","155"
7576,57593,"20","095"
2790,49926,"20","109"
6776,46224,"20","145"
6918,58947,"20","197"
8858,44468,"20","205"
28792,56946,"20","113"
15894,54186,"20","139"
4905,52075,"20","007"
2891,41230,"20","039"
3178,36493,"20","207"
6230,44591,"20","123"
7847,52465,"20","193"
4295,54167,"20","119"
27067,46070,"20","009"
10095,53368,"20","131"
23188,64410,"20","149"
12752,43031,"20","001"
2677,47167,"20","023"
1741,51563,"20","033"
35732,46624,"20","035"
9191,44199,"20","029"
